job_id,arrival_time,service_time,priority,job_type
J0001,0.0000,0.4200,2,standard
J0002,1.5124,0.6513,2,standard
J0003,1.8984,1.5156,2,standard
J0004,4.5031,2.8573,1,urgent
J0005,6.8942,2.5563,2,standard
J0006,7.3220,0.5368,2,standard
J0007,7.3653,1.6310,2,standard
J0008,10.6302,2.7912,1,urgent
J0009,11.0582,1.9629,2,standard
J0010,13.3538,0.3239,2,standard
J0011,14.3027,0.2765,3,batch
J0012,15.8279,1.1185,2,standard
J0013,15.9703,1.0406,1,urgent
J0014,17.9545,2.2777,2,standard
J0015,18.9138,0.3007,2,standard
J0016,18.9179,1.7990,2,standard
J0017,20.3662,0.8497,3,batch
J0018,20.9074,1.4643,2,standard
J0019,21.4346,0.2000,2,standard
J0020,21.5316,1.3940,3,batch
J0021,21.6495,1.7699,2,standard
J0022,22.8152,1.0652,2,standard
J0023,24.6188,1.2782,2,standard
J0024,26.4530,1.5367,2,standard
J0025,29.5068,1.1650,3,batch
J0026,29.5266,1.2361,3,batch
J0027,33.1051,0.8629,2,standard
J0028,33.4484,0.8189,3,batch
J0029,34.4177,0.3719,1,urgent
J0030,34.6017,1.0394,2,standard
J0031,35.6613,0.9491,2,standard
J0032,36.4780,0.3683,1,urgent
J0033,36.5226,1.2614,2,standard
J0034,36.8892,1.1281,2,standard
J0035,39.2595,0.3807,2,standard
J0036,40.5643,1.6921,2,standard
J0037,40.9931,0.7332,3,batch
J0038,41.9499,0.6633,2,standard
J0039,43.4047,0.3213,2,standard
J0040,44.2819,0.7969,3,batch
J0041,44.6532,1.1162,2,standard
J0042,45.7975,0.6675,3,batch
J0043,47.2612,2.4314,2,standard
J0044,48.3541,1.4104,1,urgent
J0045,48.9922,0.9628,2,standard
J0046,49.6136,0.8699,1,urgent
J0047,50.4919,4.6972,3,batch
J0048,51.2694,1.9946,2,standard
J0049,53.7873,1.0148,2,standard
J0050,54.2874,1.3240,2,standard
J0051,58.4788,1.4500,2,standard
J0052,58.5121,2.7647,2,standard
J0053,58.9111,1.7032,3,batch
J0054,59.8853,2.3258,2,standard
J0055,62.3303,1.4291,2,standard
J0056,62.4661,1.2189,2,standard
J0057,62.7092,0.4808,2,standard
J0058,63.6671,0.9134,3,batch
J0059,65.7448,0.4080,1,urgent
J0060,66.2832,0.7974,3,batch
J0061,66.7461,0.3940,3,batch
J0062,67.9627,0.5212,1,urgent
J0063,68.5929,2.4023,2,standard
J0064,69.1816,0.5267,3,batch
J0065,69.3804,0.5167,3,batch
J0066,70.6288,0.4044,2,standard
J0067,71.0614,1.6820,1,urgent
J0068,72.2170,0.3840,2,standard
J0069,72.2869,0.2000,2,standard
J0070,73.7994,0.2849,3,batch
J0071,77.2033,2.5906,2,standard
J0072,77.9731,0.9290,2,standard
J0073,79.1809,0.6628,2,standard
J0074,79.8448,0.5501,1,urgent
J0075,79.9670,1.3018,2,standard
J0076,80.0475,1.1062,2,standard
J0077,84.4939,0.4355,2,standard
J0078,86.1314,1.5588,1,urgent
J0079,87.0675,0.6165,2,standard
J0080,87.5460,0.5575,3,batch
J0081,87.6344,1.0923,3,batch
J0082,88.7216,0.3930,3,batch
J0083,89.2160,0.6592,3,batch
J0084,91.2841,1.0672,3,batch
J0085,92.7408,0.7851,2,standard
J0086,96.1258,1.0534,2,standard
J0087,96.2239,2.0055,3,batch
J0088,96.5535,1.2708,2,standard
J0089,96.6108,3.1770,2,standard
J0090,97.0453,0.8412,2,standard
J0091,98.1084,1.5524,2,standard
J0092,99.1614,0.6650,2,standard
J0093,100.0216,1.6875,2,standard
J0094,100.3272,2.1648,2,standard
J0095,100.3428,0.6790,1,urgent
J0096,100.3836,0.7145,2,standard
J0097,100.7369,2.8515,2,standard
J0098,103.6135,1.3338,3,batch
J0099,107.4797,1.5703,1,urgent
J0100,108.6332,1.0543,3,batch
J0101,108.6458,0.2499,2,standard
J0102,109.5742,2.0514,2,standard
J0103,111.6578,1.3976,3,batch
J0104,113.0946,0.6050,2,standard
J0105,114.3466,0.8739,2,standard
J0106,114.8757,1.3166,2,standard
J0107,119.3001,0.5264,2,standard
J0108,119.9287,1.9432,2,standard
J0109,120.9145,0.9727,3,batch
J0110,123.9156,2.2734,2,standard
J0111,124.2723,1.1802,2,standard
J0112,124.4370,7.4354,3,batch
J0113,124.4765,0.2083,1,urgent
J0114,126.7960,0.4492,2,standard
J0115,127.1893,2.1991,1,urgent
J0116,127.7309,0.6400,2,standard
J0117,129.3421,0.2000,2,standard
J0118,130.9807,1.8937,1,urgent
J0119,131.1671,1.5178,2,standard
J0120,132.8876,1.2315,2,standard
J0121,133.1559,0.5051,3,batch
J0122,134.9802,0.9908,2,standard
J0123,135.9755,0.4848,1,urgent
J0124,139.4833,0.3727,1,urgent
J0125,139.7884,1.3642,2,standard
J0126,140.4222,0.7686,1,urgent
J0127,143.8780,1.1661,3,batch
J0128,145.4775,0.9808,2,standard
J0129,148.0542,0.5839,2,standard
J0130,148.8137,1.3750,1,urgent
J0131,150.5449,1.6707,2,standard
J0132,151.8960,0.3600,2,standard
J0133,152.9241,1.6100,3,batch
J0134,156.6270,0.7749,2,standard
J0135,157.0229,1.1969,1,urgent
J0136,157.8579,1.2419,2,standard
J0137,158.4353,0.2214,3,batch
J0138,161.5400,0.6221,2,standard
J0139,162.1078,1.5444,3,batch
J0140,162.4521,0.4788,2,standard
J0141,165.0852,0.9667,2,standard
J0142,166.2685,2.9894,2,standard
J0143,168.5261,0.6089,2,standard
J0144,172.0058,1.1558,2,standard
J0145,172.9381,1.2083,2,standard
J0146,173.0269,1.1474,2,standard
J0147,176.0959,0.9263,2,standard
J0148,177.8853,1.2308,3,batch
J0149,178.3433,0.7952,2,standard
J0150,178.3671,0.6252,2,standard
J0151,178.4747,0.7888,2,standard
J0152,178.8017,0.4125,2,standard
J0153,179.0011,1.0862,3,batch
J0154,179.1052,0.7054,2,standard
J0155,179.8697,0.2464,2,standard
J0156,185.2638,0.9483,2,standard
J0157,186.3412,0.4742,3,batch
J0158,188.9794,1.8958,3,batch
J0159,189.6274,1.0608,3,batch
J0160,193.9188,1.2567,3,batch
J0161,196.4164,2.7471,3,batch
J0162,200.0521,1.8220,1,urgent
J0163,202.3003,5.4519,2,standard
J0164,202.8090,1.0904,2,standard
J0165,203.1664,1.2677,3,batch
J0166,203.3102,2.8829,2,standard
J0167,203.3801,0.3454,2,standard
J0168,203.4384,1.5393,2,standard
J0169,204.9633,1.1275,2,standard
J0170,206.8907,1.9610,1,urgent
J0171,208.7668,0.6296,1,urgent
J0172,209.8987,0.5257,2,standard
J0173,210.5732,1.7729,1,urgent
J0174,211.3966,1.6585,3,batch
J0175,211.4792,1.1714,3,batch
J0176,212.1310,0.5295,3,batch
J0177,213.9303,2.8592,2,standard
J0178,214.9678,2.1960,2,standard
J0179,217.0324,0.3162,2,standard
J0180,219.3014,0.8209,2,standard
J0181,219.3527,1.2633,2,standard
J0182,219.9731,0.2940,2,standard
J0183,224.3408,2.1659,3,batch
J0184,227.8196,2.9201,2,standard
J0185,228.1239,2.1464,2,standard
J0186,228.6570,0.7387,2,standard
J0187,231.0923,1.1090,2,standard
J0188,232.0816,2.8318,3,batch
J0189,232.9460,4.8057,2,standard
J0190,235.6694,0.4821,2,standard
J0191,235.8801,0.6946,2,standard
J0192,239.9902,0.2364,2,standard
J0193,243.9434,0.3672,2,standard
J0194,244.0704,0.4722,1,urgent
J0195,244.3096,0.2936,2,standard
J0196,244.7239,1.3504,3,batch
J0197,244.7483,0.7175,2,standard
J0198,244.9685,1.1656,3,batch
J0199,251.8529,0.4083,3,batch
J0200,251.8931,0.3423,1,urgent
J0201,252.3480,4.4726,2,standard
J0202,254.8035,3.4434,1,urgent
J0203,254.8305,0.3211,2,standard
J0204,255.1149,1.1017,2,standard
J0205,255.9146,1.4280,2,standard
J0206,257.2336,0.4726,3,batch
