policy,job_id,priority,job_type,arrival_time,service_time,start_time,finish_time,waiting_time,turnaround_time
fifo,J0001,2,standard,0.0000,0.4200,0.0000,0.4200,0.0000,0.4200
fifo,J0002,2,standard,1.5124,0.6513,1.5124,2.1637,0.0000,0.6513
fifo,J0003,2,standard,1.8984,1.5156,2.1637,3.6793,0.2653,1.7809
fifo,J0004,1,urgent,4.5031,2.8573,4.5031,7.3604,0.0000,2.8573
fifo,J0005,2,standard,6.8942,2.5563,7.3604,9.9167,0.4662,3.0225
fifo,J0006,2,standard,7.3220,0.5368,9.9167,10.4535,2.5947,3.1315
fifo,J0007,2,standard,7.3653,1.6310,10.4535,12.0845,3.0882,4.7192
fifo,J0008,1,urgent,10.6302,2.7912,12.0845,14.8757,1.4543,4.2455
fifo,J0009,2,standard,11.0582,1.9629,14.8757,16.8386,3.8175,5.7804
fifo,J0010,2,standard,13.3538,0.3239,16.8386,17.1625,3.4848,3.8087
fifo,J0011,3,batch,14.3027,0.2765,17.1625,17.4390,2.8598,3.1363
fifo,J0012,2,standard,15.8279,1.1185,17.4390,18.5575,1.6111,2.7296
fifo,J0013,1,urgent,15.9703,1.0406,18.5575,19.5981,2.5872,3.6278
fifo,J0014,2,standard,17.9545,2.2777,19.5981,21.8758,1.6436,3.9213
fifo,J0015,2,standard,18.9138,0.3007,21.8758,22.1765,2.9620,3.2627
fifo,J0016,2,standard,18.9179,1.7990,22.1765,23.9755,3.2586,5.0576
fifo,J0017,3,batch,20.3662,0.8497,23.9755,24.8252,3.6093,4.4590
fifo,J0018,2,standard,20.9074,1.4643,24.8252,26.2895,3.9178,5.3821
fifo,J0019,2,standard,21.4346,0.2000,26.2895,26.4895,4.8549,5.0549
fifo,J0020,3,batch,21.5316,1.3940,26.4895,27.8835,4.9579,6.3519
fifo,J0021,2,standard,21.6495,1.7699,27.8835,29.6534,6.2340,8.0039
fifo,J0022,2,standard,22.8152,1.0652,29.6534,30.7186,6.8382,7.9034
fifo,J0023,2,standard,24.6188,1.2782,30.7186,31.9968,6.0998,7.3780
fifo,J0024,2,standard,26.4530,1.5367,31.9968,33.5335,5.5438,7.0805
fifo,J0025,3,batch,29.5068,1.1650,33.5335,34.6985,4.0267,5.1917
fifo,J0026,3,batch,29.5266,1.2361,34.6985,35.9346,5.1719,6.4080
fifo,J0027,2,standard,33.1051,0.8629,35.9346,36.7975,2.8295,3.6924
fifo,J0028,3,batch,33.4484,0.8189,36.7975,37.6164,3.3491,4.1680
fifo,J0029,1,urgent,34.4177,0.3719,37.6164,37.9883,3.1987,3.5706
fifo,J0030,2,standard,34.6017,1.0394,37.9883,39.0277,3.3866,4.4260
fifo,J0031,2,standard,35.6613,0.9491,39.0277,39.9768,3.3664,4.3155
fifo,J0032,1,urgent,36.4780,0.3683,39.9768,40.3451,3.4988,3.8671
fifo,J0033,2,standard,36.5226,1.2614,40.3451,41.6065,3.8225,5.0839
fifo,J0034,2,standard,36.8892,1.1281,41.6065,42.7346,4.7173,5.8454
fifo,J0035,2,standard,39.2595,0.3807,42.7346,43.1153,3.4751,3.8558
fifo,J0036,2,standard,40.5643,1.6921,43.1153,44.8074,2.5510,4.2431
fifo,J0037,3,batch,40.9931,0.7332,44.8074,45.5406,3.8143,4.5475
fifo,J0038,2,standard,41.9499,0.6633,45.5406,46.2039,3.5907,4.2540
fifo,J0039,2,standard,43.4047,0.3213,46.2039,46.5252,2.7992,3.1205
fifo,J0040,3,batch,44.2819,0.7969,46.5252,47.3221,2.2433,3.0402
fifo,J0041,2,standard,44.6532,1.1162,47.3221,48.4383,2.6689,3.7851
fifo,J0042,3,batch,45.7975,0.6675,48.4383,49.1058,2.6408,3.3083
fifo,J0043,2,standard,47.2612,2.4314,49.1058,51.5372,1.8446,4.2760
fifo,J0044,1,urgent,48.3541,1.4104,51.5372,52.9476,3.1831,4.5935
fifo,J0045,2,standard,48.9922,0.9628,52.9476,53.9104,3.9554,4.9182
fifo,J0046,1,urgent,49.6136,0.8699,53.9104,54.7803,4.2968,5.1667
fifo,J0047,3,batch,50.4919,4.6972,54.7803,59.4775,4.2884,8.9856
fifo,J0048,2,standard,51.2694,1.9946,59.4775,61.4721,8.2081,10.2027
fifo,J0049,2,standard,53.7873,1.0148,61.4721,62.4869,7.6848,8.6996
fifo,J0050,2,standard,54.2874,1.3240,62.4869,63.8109,8.1995,9.5235
fifo,J0051,2,standard,58.4788,1.4500,63.8109,65.2609,5.3321,6.7821
fifo,J0052,2,standard,58.5121,2.7647,65.2609,68.0256,6.7488,9.5135
fifo,J0053,3,batch,58.9111,1.7032,68.0256,69.7288,9.1145,10.8177
fifo,J0054,2,standard,59.8853,2.3258,69.7288,72.0546,9.8435,12.1693
fifo,J0055,2,standard,62.3303,1.4291,72.0546,73.4837,9.7243,11.1534
fifo,J0056,2,standard,62.4661,1.2189,73.4837,74.7026,11.0176,12.2365
fifo,J0057,2,standard,62.7092,0.4808,74.7026,75.1834,11.9934,12.4742
fifo,J0058,3,batch,63.6671,0.9134,75.1834,76.0968,11.5163,12.4297
fifo,J0059,1,urgent,65.7448,0.4080,76.0968,76.5048,10.3520,10.7600
fifo,J0060,3,batch,66.2832,0.7974,76.5048,77.3022,10.2216,11.0190
fifo,J0061,3,batch,66.7461,0.3940,77.3022,77.6962,10.5561,10.9501
fifo,J0062,1,urgent,67.9627,0.5212,77.6962,78.2174,9.7335,10.2547
fifo,J0063,2,standard,68.5929,2.4023,78.2174,80.6197,9.6245,12.0268
fifo,J0064,3,batch,69.1816,0.5267,80.6197,81.1464,11.4381,11.9648
fifo,J0065,3,batch,69.3804,0.5167,81.1464,81.6631,11.7660,12.2827
fifo,J0066,2,standard,70.6288,0.4044,81.6631,82.0675,11.0343,11.4387
fifo,J0067,1,urgent,71.0614,1.6820,82.0675,83.7495,11.0061,12.6881
fifo,J0068,2,standard,72.2170,0.3840,83.7495,84.1335,11.5325,11.9165
fifo,J0069,2,standard,72.2869,0.2000,84.1335,84.3335,11.8466,12.0466
fifo,J0070,3,batch,73.7994,0.2849,84.3335,84.6184,10.5341,10.8190
fifo,J0071,2,standard,77.2033,2.5906,84.6184,87.2090,7.4151,10.0057
fifo,J0072,2,standard,77.9731,0.9290,87.2090,88.1380,9.2359,10.1649
fifo,J0073,2,standard,79.1809,0.6628,88.1380,88.8008,8.9571,9.6199
fifo,J0074,1,urgent,79.8448,0.5501,88.8008,89.3509,8.9560,9.5061
fifo,J0075,2,standard,79.9670,1.3018,89.3509,90.6527,9.3839,10.6857
