policy,job_id,priority,job_type,arrival_time,service_time,start_time,finish_time,waiting_time,turnaround_time
priority,J0001,2,standard,0.0000,0.4200,0.0000,0.4200,0.0000,0.4200
priority,J0002,2,standard,1.5124,0.6513,1.5124,2.1637,0.0000,0.6513
priority,J0003,2,standard,1.8984,1.5156,2.1637,3.6793,0.2653,1.7809
priority,J0004,1,urgent,4.5031,2.8573,4.5031,7.3604,0.0000,2.8573
priority,J0005,2,standard,6.8942,2.5563,7.3604,9.9167,0.4662,3.0225
priority,J0006,2,standard,7.3220,0.5368,9.9167,10.4535,2.5947,3.1315
priority,J0007,2,standard,7.3653,1.6310,10.4535,12.0845,3.0882,4.7192
priority,J0008,1,urgent,10.6302,2.7912,12.0845,14.8757,1.4543,4.2455
priority,J0009,2,standard,11.0582,1.9629,14.8757,16.8386,3.8175,5.7804
priority,J0013,1,urgent,15.9703,1.0406,16.8386,17.8792,0.8683,1.9089
priority,J0010,2,standard,13.3538,0.3239,17.8792,18.2031,4.5254,4.8493
priority,J0012,2,standard,15.8279,1.1185,18.2031,19.3216,2.3752,3.4937
priority,J0014,2,standard,17.9545,2.2777,19.3216,21.5993,1.3671,3.6448
priority,J0015,2,standard,18.9138,0.3007,21.5993,21.9000,2.6855,2.9862
priority,J0016,2,standard,18.9179,1.7990,21.9000,23.6990,2.9821,4.7811
priority,J0018,2,standard,20.9074,1.4643,23.6990,25.1633,2.7916,4.2559
priority,J0019,2,standard,21.4346,0.2000,25.1633,25.3633,3.7287,3.9287
priority,J0021,2,standard,21.6495,1.7699,25.3633,27.1332,3.7138,5.4837
priority,J0022,2,standard,22.8152,1.0652,27.1332,28.1984,4.3180,5.3832
priority,J0023,2,standard,24.6188,1.2782,28.1984,29.4766,3.5796,4.8578
priority,J0024,2,standard,26.4530,1.5367,29.4766,31.0133,3.0236,4.5603
priority,J0011,3,batch,14.3027,0.2765,31.0133,31.2898,16.7106,16.9871
