event_id,timestamp,ip,path,status,session_id
evt-000001,0.0000,10.0.0.7,/health,404,10.0.0.7-s0001
evt-000002,0.1626,10.0.0.4,/login,200,10.0.0.4-s0001
evt-000003,0.3094,10.0.0.2,/,200,10.0.0.2-s0001
evt-000004,1.3376,10.0.0.7,/api/data,200,10.0.0.7-s0001
evt-000005,2.6241,10.0.0.150,/health,200,10.0.0.150-s0001
evt-000006,2.9915,10.0.0.7,/health,200,10.0.0.7-s0001
evt-000007,3.3217,10.0.0.1,/login,200,10.0.0.1-s0001
evt-000008,3.3631,10.0.0.5,/api/model,404,10.0.0.5-s0001
evt-000009,3.5407,10.0.0.11,/api/model,200,10.0.0.11-s0001
evt-000010,3.5845,10.0.0.1,/api/model,404,10.0.0.1-s0001
evt-000011,5.0852,10.0.0.1,/api/model,200,10.0.0.1-s0001
evt-000012,5.1621,10.0.0.7,/api/model,200,10.0.0.7-s0001
evt-000013,5.2473,10.0.0.2,/api/data,200,10.0.0.2-s0001
evt-000014,5.3773,10.0.0.37,/api/data,200,10.0.0.37-s0001
evt-000015,7.3671,10.0.0.1,/health,400,10.0.0.1-s0001
evt-000016,8.5217,10.0.0.3,/api/data,200,10.0.0.3-s0001
evt-000017,8.6154,10.0.0.1,/health,200,10.0.0.1-s0001
evt-000018,9.3646,10.0.0.1,/login,200,10.0.0.1-s0001
evt-000019,10.0099,10.0.0.198,/api/data,200,10.0.0.198-s0001
evt-000020,10.3256,10.0.0.10,/health,200,10.0.0.10-s0001
evt-000021,10.3969,10.0.0.1,/api/model,404,10.0.0.1-s0001
evt-000022,10.4208,10.0.0.5,/api/model,200,10.0.0.5-s0001
evt-000023,10.4795,10.0.0.2,/api/model,400,10.0.0.2-s0001
evt-000024,11.0187,10.0.0.1,/api/model,200,10.0.0.1-s0001
evt-000025,11.1285,10.0.0.106,/api/data,200,10.0.0.106-s0001
evt-000026,11.1762,10.0.0.1,/api/model,200,10.0.0.1-s0001
evt-000027,11.3816,10.0.0.3,/login,200,10.0.0.3-s0001
evt-000028,12.2639,10.0.0.92,/api/data,200,10.0.0.92-s0001
evt-000029,12.9338,10.0.0.8,/api/model,200,10.0.0.8-s0001
evt-000030,13.0119,10.0.0.19,/api/data,400,10.0.0.19-s0001
evt-000031,13.5696,10.0.0.9,/health,200,10.0.0.9-s0001
evt-000032,15.1485,10.0.0.5,/api/data,200,10.0.0.5-s0001
evt-000033,15.1861,10.0.0.17,/api/data,200,10.0.0.17-s0001
evt-000034,18.6588,10.0.0.12,/api/data,201,10.0.0.12-s0001
evt-000035,19.1374,10.0.0.11,/api/data,200,10.0.0.11-s0001
evt-000036,20.3869,10.0.0.21,/api/data,200,10.0.0.21-s0001
evt-000037,20.4092,10.0.0.1,/api/model,201,10.0.0.1-s0001
evt-000038,20.4811,10.0.0.5,/api/data,404,10.0.0.5-s0001
evt-000039,22.0612,10.0.0.1,/api/data,404,10.0.0.1-s0001
evt-000040,22.4638,10.0.0.1,/api/data,200,10.0.0.1-s0001
evt-000041,24.6239,10.0.0.28,/api/data,200,10.0.0.28-s0001
evt-000042,24.7566,10.0.0.2,/api/data,200,10.0.0.2-s0001
evt-000043,25.2977,10.0.0.9,/login,400,10.0.0.9-s0001
evt-000044,26.4153,10.0.0.185,/,200,10.0.0.185-s0001
evt-000045,26.8657,10.0.0.3,/health,200,10.0.0.3-s0001
evt-000046,27.6008,10.0.0.1,/api/data,200,10.0.0.1-s0001
evt-000047,29.9885,10.0.0.143,/api/data,200,10.0.0.143-s0001
evt-000048,30.4820,10.0.0.62,/api/data,200,10.0.0.62-s0001
evt-000049,32.9577,10.0.0.4,/health,200,10.0.0.4-s0002
evt-000050,34.1782,10.0.0.30,/api/data,200,10.0.0.30-s0001
evt-000051,34.6158,10.0.0.16,/api/model,500,10.0.0.16-s0001
evt-000052,36.3753,10.0.0.43,/,200,10.0.0.43-s0001
evt-000053,36.6339,10.0.0.3,/health,200,10.0.0.3-s0001
evt-000054,36.7836,10.0.0.1,/health,200,10.0.0.1-s0001
evt-000055,38.2745,10.0.0.1,/api/model,200,10.0.0.1-s0001
evt-000056,38.9588,10.0.0.3,/api/model,200,10.0.0.3-s0001
evt-000057,39.4777,10.0.0.5,/api/data,200,10.0.0.5-s0001
evt-000058,39.8330,10.0.0.9,/,200,10.0.0.9-s0001
evt-000059,40.1488,10.0.0.43,/api/data,200,10.0.0.43-s0001
evt-000060,40.1808,10.0.0.1,/api/data,200,10.0.0.1-s0001
evt-000061,40.7362,10.0.0.94,/api/model,200,10.0.0.94-s0001
evt-000062,40.8214,10.0.0.2,/login,400,10.0.0.2-s0001
evt-000063,41.7383,10.0.0.1,/api/data,400,10.0.0.1-s0001
evt-000064,42.1232,10.0.0.1,/api/data,200,10.0.0.1-s0001
evt-000065,42.2006,10.0.0.30,/health,200,10.0.0.30-s0001
evt-000066,42.6454,10.0.0.1,/,200,10.0.0.1-s0001
evt-000067,42.7146,10.0.0.46,/api/data,200,10.0.0.46-s0001
evt-000068,43.0774,10.0.0.182,/api/data,200,10.0.0.182-s0001
evt-000069,43.2509,10.0.0.3,/api/data,200,10.0.0.3-s0001
evt-000070,43.5485,10.0.0.1,/health,200,10.0.0.1-s0001
evt-000071,43.6631,10.0.0.4,/api/data,200,10.0.0.4-s0002
evt-000072,43.7157,10.0.0.2,/api/data,201,10.0.0.2-s0001
evt-000073,44.1944,10.0.0.1,/api/model,201,10.0.0.1-s0001
evt-000074,45.0298,10.0.0.2,/api/data,200,10.0.0.2-s0001
evt-000075,45.0737,10.0.0.147,/api/model,201,10.0.0.147-s0001
evt-000076,45.1283,10.0.0.29,/api/model,500,10.0.0.29-s0001
evt-000077,45.2206,10.0.0.1,/api/model,200,10.0.0.1-s0001
evt-000078,45.8610,10.0.0.2,/api/data,500,10.0.0.2-s0001
evt-000079,46.9044,10.0.0.3,/api/model,200,10.0.0.3-s0001
evt-000080,46.9417,10.0.0.9,/health,500,10.0.0.9-s0001
evt-000081,47.0083,10.0.0.2,/api/data,200,10.0.0.2-s0001
evt-000082,47.5610,10.0.0.1,/health,200,10.0.0.1-s0001
evt-000083,48.8735,10.0.0.8,/,404,10.0.0.8-s0002
evt-000084,49.0708,10.0.0.3,/api/data,201,10.0.0.3-s0001
evt-000085,49.5974,10.0.0.2,/,500,10.0.0.2-s0001
evt-000086,49.6557,10.0.0.1,/api/data,200,10.0.0.1-s0001
evt-000087,50.1638,10.0.0.7,/login,201,10.0.0.7-s0002
evt-000088,51.0239,10.0.0.1,/api/data,200,10.0.0.1-s0001
evt-000089,52.4591,10.0.0.4,/,200,10.0.0.4-s0002
evt-000090,52.9630,10.0.0.2,/,201,10.0.0.2-s0001
evt-000091,53.0279,10.0.0.2,/api/data,200,10.0.0.2-s0001
evt-000092,53.1691,10.0.0.7,/api/model,200,10.0.0.7-s0002
evt-000093,53.4105,10.0.0.3,/api/data,200,10.0.0.3-s0001
evt-000094,53.6137,10.0.0.28,/api/model,200,10.0.0.28-s0001
evt-000095,53.7894,10.0.0.5,/login,200,10.0.0.5-s0001
evt-000096,54.7003,10.0.0.9,/health,200,10.0.0.9-s0001
evt-000097,54.8679,10.0.0.1,/api/data,200,10.0.0.1-s0001
evt-000098,54.9537,10.0.0.2,/api/data,200,10.0.0.2-s0001
evt-000099,55.9087,10.0.0.2,/health,200,10.0.0.2-s0001
evt-000100,56.1607,10.0.0.60,/api/data,404,10.0.0.60-s0001
evt-000101,56.2363,10.0.0.46,/,500,10.0.0.46-s0001
evt-000102,56.3989,10.0.0.2,/health,200,10.0.0.2-s0001
evt-000103,56.4523,10.0.0.112,/api/data,200,10.0.0.112-s0001
evt-000104,58.1008,10.0.0.79,/health,200,10.0.0.79-s0001
evt-000105,58.2860,10.0.0.36,/,200,10.0.0.36-s0001
evt-000106,58.7737,10.0.0.1,/api/model,200,10.0.0.1-s0001
evt-000107,59.1670,10.0.0.14,/api/model,200,10.0.0.14-s0001
evt-000108,60.5636,10.0.0.2,/api/data,200,10.0.0.2-s0001
evt-000109,61.2514,10.0.0.1,/,200,10.0.0.1-s0001
evt-000110,61.2552,10.0.0.2,/login,200,10.0.0.2-s0001
evt-000111,61.4807,10.0.0.40,/health,200,10.0.0.40-s0001
evt-000112,62.0585,10.0.0.22,/api/data,200,10.0.0.22-s0001
evt-000113,62.9015,10.0.0.6,/api/data,404,10.0.0.6-s0001
evt-000114,63.0088,10.0.0.86,/api/data,200,10.0.0.86-s0001
evt-000115,63.0833,10.0.0.10,/api/data,200,10.0.0.10-s0002
evt-000116,63.4909,10.0.0.16,/api/model,200,10.0.0.16-s0001
evt-000117,63.5002,10.0.0.1,/login,200,10.0.0.1-s0001
evt-000118,64.3938,10.0.0.1,/api/data,400,10.0.0.1-s0001
evt-000119,64.5083,10.0.0.2,/api/data,200,10.0.0.2-s0001
evt-000120,64.5706,10.0.0.19,/api/data,200,10.0.0.19-s0002
evt-000121,64.7651,10.0.0.111,/,200,10.0.0.111-s0001
evt-000122,65.8500,10.0.0.34,/,200,10.0.0.34-s0001
evt-000123,66.1031,10.0.0.1,/health,200,10.0.0.1-s0001
evt-000124,66.6629,10.0.0.1,/api/data,200,10.0.0.1-s0001
evt-000125,68.0448,10.0.0.2,/api/data,200,10.0.0.2-s0001
evt-000126,68.0661,10.0.0.6,/health,200,10.0.0.6-s0001
evt-000127,68.7160,10.0.0.1,/api/model,400,10.0.0.1-s0001
evt-000128,68.7471,10.0.0.3,/api/data,404,10.0.0.3-s0001
evt-000129,68.7955,10.0.0.114,/login,200,10.0.0.114-s0001
evt-000130,69.0549,10.0.0.1,/api/model,400,10.0.0.1-s0001
evt-000131,69.2525,10.0.0.5,/,400,10.0.0.5-s0001
evt-000132,69.4149,10.0.0.1,/api/model,200,10.0.0.1-s0001
evt-000133,69.4863,10.0.0.3,/api/data,200,10.0.0.3-s0001
evt-000134,69.6091,10.0.0.63,/api/data,200,10.0.0.63-s0001
evt-000135,71.2988,10.0.0.8,/login,200,10.0.0.8-s0002
evt-000136,71.5933,10.0.0.1,/api/model,500,10.0.0.1-s0001
evt-000137,71.7513,10.0.0.156,/health,200,10.0.0.156-s0001
evt-000138,72.0046,10.0.0.19,/login,200,10.0.0.19-s0002
