event_id,timestamp,sensor_id,temperature_c,quality,payload
evt-00000912,2026-01-01T00:00:00Z,sensor-001,-9.69,good,"zone=1, batch=3"
evt-00000494,2026-01-01T00:00:00Z,sensor-002,-11.87,good,"zone=2, batch=1"
evt-00000083,2026-01-01T00:00:00Z,sensor-011,27.84,good,"zone=4, batch=0"
evt-00004811,2026-01-01T00:00:01Z,sensor-007,2.60,good,"zone=1, batch=19"
evt-00000983,2026-01-01T00:00:01Z,sensor-010,15.98,good,"zone=3, batch=3"
evt-00001902,2026-01-01T00:00:02Z,sensor-002,12.35,good,"zone=2, batch=7"
evt-00000820,2026-01-01T00:00:02Z,sensor-003,33.09,suspect,"zone=2, batch=3"
evt-00002298,2026-01-01T00:00:02Z,sensor-003,11.82,good,"zone=2, batch=9"
evt-00004886,2026-01-01T00:00:02Z,sensor-004,25.61,suspect,"zone=2, batch=19"
evt-00001055,2026-01-01T00:00:02Z,sensor-005,26.70,good,"zone=4, batch=4"
evt-00002917,2026-01-01T00:00:02Z,sensor-008,-7.83,good,"zone=4, batch=11"
evt-00003297,2026-01-01T00:00:02Z,sensor-011,17.08,good,"zone=2, batch=13"
evt-00003958,2026-01-01T00:00:03Z,sensor-002,7.54,good,"zone=4, batch=15"
evt-00003389,2026-01-01T00:00:03Z,sensor-004,29.60,suspect,"zone=4, batch=13"
evt-00003815,2026-01-01T00:00:03Z,sensor-008,16.83,suspect,"zone=4, batch=15"
evt-00001178,2026-01-01T00:00:03Z,sensor-009,17.59,good,"zone=4, batch=4"
evt-00004321,2026-01-01T00:00:03Z,sensor-009,26.95,suspect,"zone=3, batch=17"
evt-00001050,2026-01-01T00:00:04Z,sensor-004,0.78,good,"zone=2, batch=4"
evt-00004266,2026-01-01T00:00:04Z,sensor-005,34.04,good,"zone=1, batch=17"
evt-00004704,2026-01-01T00:00:04Z,sensor-005,-4.73,good,"zone=2, batch=18"
evt-00003035,2026-01-01T00:00:04Z,sensor-007,11.61,suspect,"zone=1, batch=12"
evt-00000122,2026-01-01T00:00:04Z,sensor-010,12.37,good,"zone=2, batch=0"
evt-00001177,2026-01-01T00:00:04Z,sensor-012,-4.79,good,"zone=2, batch=4"
evt-00001900,2026-01-01T00:00:05Z,sensor-009,13.14,good,"zone=4, batch=7"
evt-00002213,2026-01-01T00:00:05Z,sensor-010,2.06,good,"zone=3, batch=8"
evt-00000672,2026-01-01T00:00:06Z,sensor-001,-8.14,good,"zone=4, batch=2"
evt-00002368,2026-01-01T00:00:06Z,sensor-003,10.45,suspect,"zone=2, batch=9"
evt-00004197,2026-01-01T00:00:06Z,sensor-005,29.21,good,"zone=4, batch=16"
evt-00001589,2026-01-01T00:00:06Z,sensor-006,37.77,suspect,"zone=2, batch=6"
evt-00003670,2026-01-01T00:00:06Z,sensor-007,23.31,good,"zone=2, batch=14"
evt-00000324,2026-01-01T00:00:06Z,sensor-009,33.29,good,"zone=1, batch=1"
evt-00004075,2026-01-01T00:00:06Z,sensor-009,-10.22,good,"zone=3, batch=16"
evt-00001735,2026-01-01T00:00:07Z,sensor-001,-4.02,good,"zone=3, batch=6"
evt-00000923,2026-01-01T00:00:07Z,sensor-006,27.80,good,"zone=4, batch=3"
evt-00003927,2026-01-01T00:00:07Z,sensor-006,30.09,good,"zone=3, batch=15"
evt-00004316,2026-01-01T00:00:08Z,sensor-001,22.86,good,"zone=4, batch=17"
evt-00003134,2026-01-01T00:00:08Z,sensor-004,-4.50,suspect,"zone=2, batch=12"
evt-00001008,2026-01-01T00:00:08Z,sensor-006,35.51,good,"zone=2, batch=4"
evt-00003077,2026-01-01T00:00:08Z,sensor-006,33.31,suspect,"zone=4, batch=12"
evt-00004315,2026-01-01T00:00:08Z,sensor-007,15.12,suspect,"zone=4, batch=17"
evt-00002258,2026-01-01T00:00:08Z,sensor-008,2.25,suspect,"zone=1, batch=9"
evt-00003807,2026-01-01T00:00:08Z,sensor-008,-7.90,good,"zone=1, batch=15"
evt-00002002,2026-01-01T00:00:08Z,sensor-011,26.69,good,"zone=2, batch=8"
evt-00001696,2026-01-01T00:00:08Z,sensor-012,1.54,good,"zone=1, batch=6"
evt-00002271,2026-01-01T00:00:08Z,sensor-012,2.87,suspect,"zone=1, batch=9"
evt-00001166,2026-01-01T00:00:09Z,sensor-001,-2.51,good,"zone=3, batch=4"
evt-00001440,2026-01-01T00:00:09Z,sensor-001,26.28,suspect,"zone=2, batch=5"
evt-00002159,2026-01-01T00:00:09Z,sensor-003,-9.90,good,"zone=1, batch=8"
evt-00002920,2026-01-01T00:00:09Z,sensor-005,-6.87,suspect,"zone=3, batch=11"
evt-00002143,2026-01-01T00:00:09Z,sensor-012,19.96,suspect,"zone=3, batch=8"
