record_id,label,score
row-00000000,0,0.09872792
row-00000001,1,0.76626258
row-00000002,0,0.28865929
row-00000003,0,0.60515789
row-00000004,1,0.73793622
row-00000005,1,0.76111824
row-00000006,1,0.52719123
row-00000007,0,0.57716111
row-00000008,0,0.36548411
row-00000009,1,0.74556344
row-00000010,0,0.19610689
row-00000011,0,0.20399835
row-00000012,0,0.00492720
row-00000013,0,0.13008312
row-00000014,1,0.71134825
row-00000015,0,0.51731723
row-00000016,1,0.87114775
row-00000017,0,0.18260928
row-00000018,0,0.13913548
row-00000019,0,0.12775830
row-00000020,0,0.43766187
row-00000021,0,0.21862462
row-00000022,0,0.49149466
row-00000023,1,0.63217480
row-00000024,0,0.26647958
row-00000025,0,0.19779599
row-00000026,0,0.20316698
row-00000027,1,0.82355288
row-00000028,0,0.07139216
row-00000029,0,0.24350697
row-00000030,1,0.35992273
row-00000031,0,0.18882988
row-00000032,1,0.58059863
row-00000033,1,0.54922827
row-00000034,0,0.20958422
row-00000035,0,0.16447137
row-00000036,0,0.38851075
row-00000037,0,0.47025119
row-00000038,0,0.25322731
row-00000039,0,0.48695965
row-00000040,0,0.26816462
row-00000041,0,0.16830349
row-00000042,1,0.77988277
row-00000043,0,0.27599566
row-00000044,1,0.79604842
row-00000045,1,0.80411682
row-00000046,0,0.36067882
row-00000047,0,0.72175347
row-00000048,0,0.21412591
row-00000049,0,0.34277276
row-00000050,1,0.82574053
row-00000051,0,0.53417372
row-00000052,1,0.88529543
row-00000053,0,0.36342781
row-00000054,0,0.12825650
row-00000055,0,0.44861338
row-00000056,1,0.82809800
row-00000057,0,0.15377638
row-00000058,0,0.43759529
row-00000059,0,0.44797431
row-00000060,0,0.05576077
row-00000061,1,0.85196466
row-00000062,1,0.75375758
row-00000063,0,0.09501080
row-00000064,0,0.09186290
row-00000065,1,0.61064833
row-00000066,1,0.73248514
row-00000067,0,0.09858779
row-00000068,0,0.08179866
row-00000069,0,0.14951433
row-00000070,0,0.33895998
row-00000071,0,0.51582284
row-00000072,0,0.25122593
row-00000073,0,0.12050266
row-00000074,0,0.55696893
row-00000075,1,0.95181116
row-00000076,0,0.12956440
row-00000077,0,0.33712533
row-00000078,0,0.03739772
row-00000079,0,0.40282615
row-00000080,1,0.80421675
row-00000081,1,0.42451732
row-00000082,0,0.08647946
row-00000083,0,0.14799551
row-00000084,1,0.52622138
row-00000085,1,0.90409384
row-00000086,0,0.28287494
row-00000087,0,0.55306300
row-00000088,0,0.27530591
row-00000089,1,0.75417420
row-00000090,0,0.25865887
row-00000091,0,0.11904735
row-00000092,0,0.53998917
row-00000093,0,0.06394994
row-00000094,1,0.49485522
row-00000095,0,0.26010179
row-00000096,0,0.19434245
row-00000097,0,0.19921711
row-00000098,0,0.55510084
row-00000099,1,0.64429128
row-00000100,0,0.08846011
row-00000101,0,0.10806956
row-00000102,0,0.39841056
row-00000103,0,0.30017099
row-00000104,1,0.90324647
row-00000105,1,0.88877898
row-00000106,1,0.83537865
row-00000107,1,0.47579411
row-00000108,1,0.21100206
row-00000109,0,0.58946585
row-00000110,1,0.94715052
row-00000111,0,0.07619165
row-00000112,0,0.27247033
row-00000113,1,0.90317257
row-00000114,0,0.22059573
row-00000115,0,0.38221070
row-00000116,0,0.43145765
row-00000117,0,0.29345845
row-00000118,0,0.22003276
row-00000119,0,0.23456702
row-00000120,0,0.46998090
row-00000121,0,0.17627341
row-00000122,1,0.33985901
row-00000123,0,0.39184132
row-00000124,0,0.47013688
row-00000125,0,0.29843471
row-00000126,0,0.09632840
row-00000127,0,0.45636707
row-00000128,0,0.17882902
