low_index,high_index,middle_index,threshold,recall,false_positive_rate,precision,feasible,next_low_index,next_high_index
0,5000,2500,0.36493432,0.97214854,0.29610538,0.58640000,False,2501,5000
2501,5000,3750,0.60851504,0.74668435,0.03550974,0.90080000,True,2501,3750
2501,3750,3125,0.47023726,0.91511936,0.14175258,0.73600000,False,3126,3750
3126,3750,3438,0.53867342,0.84549072,0.08218786,0.81626120,False,3439,3750
3439,3750,3594,0.57341059,0.80570292,0.05469645,0.86415363,False,3595,3750
3595,3750,3672,0.58713086,0.77917772,0.04381443,0.88478916,True,3595,3672
3595,3672,3633,0.58125309,0.79575597,0.04782360,0.87783467,True,3595,3633
3595,3633,3614,0.57769625,0.79973475,0.05154639,0.87012987,False,3615,3633
3615,3633,3624,0.57989554,0.79774536,0.04954181,0.87427326,True,3615,3624
3615,3624,3619,0.57917126,0.79774536,0.05097365,0.87110789,False,3620,3624
3620,3624,3622,0.57983103,0.79774536,0.05011455,0.87300435,False,3623,3624
3623,3624,3623,0.57983508,0.79774536,0.04982818,0.87363834,True,3623,3623
