signal_x,signal_y,context,noise,label
1.65493583,-0.39160982,-0.89536290,1.23538618,0
-0.65923011,-0.57720998,-0.81292252,-0.19062787,0
0.38372541,-0.35928713,1.31324002,0.62323865,0
0.69203688,0.63673218,0.65301820,-0.26771679,1
1.76605255,-1.18378899,0.68516613,-0.97334394,0
0.66410954,-0.53040340,-1.06084871,0.25590992,0
1.11238526,0.33592471,-0.37708621,0.53027883,1
0.85833509,-0.15197389,0.42806738,0.21950119,1
-0.22090984,0.73351973,-0.22543559,-0.42085540,0
-1.98759244,1.11443147,0.26216650,1.45304993,0
1.65551767,-1.90937321,0.65480287,0.21527116,0
1.07643814,0.10614717,1.22831377,-1.32836389,1
0.71914129,0.58699217,1.01334037,-0.09973394,1
-0.80740394,-0.41455189,-0.89980739,0.07306866,0
-1.48112203,-1.31936675,-0.38340452,1.80154284,1
-1.81278448,1.01075850,-0.44665421,-0.16515359,0
-0.82546943,-0.03018617,-1.12747763,0.09863452,0
0.33256578,1.01866540,-0.23341085,-1.68275273,0
0.58118477,-1.29037225,1.31918808,-0.83162177,0
1.99846199,-1.30842349,0.23744161,-0.47187670,0
-1.63564959,0.13900843,0.05257550,-0.29259509,0
1.97385520,1.76530308,-0.75177482,-1.26544725,1
-0.28033976,-1.79646700,-0.77925339,-0.82981595,1
1.26371009,1.89566762,0.39823176,2.17012098,1
1.72012885,1.68080858,-0.79543755,0.88778695,1
1.68368418,0.53859197,0.19719683,-1.35513459,1
-0.62931925,1.93355504,-0.33910625,2.42952543,0
-1.56094702,0.17809052,-0.05044285,-0.26534167,0
-0.44060163,0.15163508,0.15395682,0.44050413,1
-1.80729106,0.14938814,1.33284676,-0.69676175,1
1.91512276,0.99106212,-0.56633363,1.92219893,1
0.41754708,-0.78307183,1.21572570,0.61088142,0
1.27046387,-0.47873628,0.09053547,1.13836035,0
1.13302100,-1.69152718,-0.97079582,-0.37865617,1
1.86019875,-0.86090782,-0.09260540,-0.22428991,0
-1.79620729,-0.88807102,0.44592508,-0.47615797,1
-0.35428938,-1.50906371,-0.50070226,-0.82659621,1
-1.78483199,0.47673944,-0.25391967,-0.28351628,0
-1.46570761,-1.56164643,0.32768476,0.58101791,1
-0.68468246,-1.81513750,0.81425432,-0.27780222,0
-1.02032843,1.11689409,-0.19390050,0.84574072,0
-0.88472522,0.94521396,-0.95408974,0.22188563,0
-0.28962414,0.22766506,1.31358900,0.09837005,0
0.82979293,-0.70532032,-0.06630198,1.39007361,0
0.88216222,1.15226147,0.54238753,-1.21132342,1
1.41264322,0.35284278,0.51509847,-0.50916283,1
1.16216065,-0.42231237,-1.28517752,-1.80392842,0
-1.49155049,-0.65515404,-0.28090426,-0.21704939,0
0.31184775,0.55108088,0.50676288,0.84843629,0
-1.15136220,-0.55545061,1.12266829,0.69200878,1
0.12801349,1.36390307,-0.34514335,-0.45375063,0
-1.96156304,-1.97867637,0.95041132,0.46860718,1
0.87995437,-0.50790893,1.11611367,-0.39417833,0
-1.88421479,1.22018231,1.12814781,-0.28664031,1
1.45542710,-0.78561229,1.01386288,1.45618353,0
-1.11875998,-0.48872462,-0.55465576,0.21114761,0
0.93840192,-1.34271427,-1.32278362,-1.54595932,1
0.33866235,1.09914733,0.53101973,-0.35660610,1
1.99447050,-1.07326842,0.63379349,1.49385179,0
-0.66444968,-1.09559315,0.89164102,-0.58287196,0
-0.23706831,-0.26552624,-1.15731530,1.96802082,0
-1.40864088,-0.17885050,-1.38691384,1.40447055,0
1.76351862,1.64026397,-0.31752522,0.20854413,1
1.50796293,0.06006902,0.67801953,0.53476042,1
-1.43152616,1.25287138,-1.30766309,-0.32320611,0
-1.68337956,-0.23007782,-0.58900209,-0.36367280,0
-1.66674254,1.55095047,-0.84147353,-2.05947238,0
1.75175558,0.43345857,-1.46542107,-0.59229278,1
-1.42248531,1.90872703,-0.58556919,-0.45223817,0
-0.12879161,1.52936725,-0.07816700,-0.12911611,0
1.41518360,1.41168531,1.33412923,1.04707355,1
-1.69259614,-1.52858941,0.07255012,0.49410045,0
1.22876319,0.93908788,0.73330948,1.56376347,1
0.05098941,1.95575238,-1.18301009,-0.83396492,0
-0.82744800,1.05790553,0.71443542,-0.68354607,1
0.52458533,1.73225071,0.34173098,0.67276223,1
1.32419126,1.53642578,0.96696207,-0.41844755,1
-1.54325237,-1.75034642,0.10274672,-1.61762190,0
-1.75707231,1.32002042,0.24086523,0.05528500,1
1.62139608,-0.39035988,1.06355289,1.34917116,0
-0.57632189,0.39688350,-0.06214508,0.66212603,0
1.52380326,-1.95458809,1.24735952,0.90063186,1
-0.22970206,0.58674203,-0.43329216,-1.81987802,0
-1.48084352,-0.98405237,-0.03287012,0.62932572,0
-0.70534351,-0.58338117,-1.26332603,1.69304304,0
-0.83896435,1.02553540,0.08012552,-0.09006098,1
-1.06056759,1.34293392,0.85764593,0.67629813,0
-1.35620145,1.27471155,-0.89726408,1.99665542,0
-0.39316318,1.68086971,-0.82496655,1.40198008,0
-0.95589101,0.47041741,-0.87855606,0.85389736,0
0.87819489,-1.77498906,-0.78840148,0.28651915,1
0.81672302,-0.92927777,1.40856276,-0.96000827,0
-0.03909518,0.37998951,-0.13779942,0.77120576,0
1.82228371,-1.58252947,-1.28341754,1.28996251,1
-1.40027820,-0.42455519,0.53541188,-1.86819937,1
-0.32006725,-1.84426707,0.67244738,-0.35147430,0
-0.69278395,0.82084230,0.02985162,0.34607589,0
-1.81211956,1.88352820,-0.70695073,-0.00252224,0
1.07388731,1.12726823,-0.75282529,1.07550920,1
1.92949010,0.38731864,-0.71554196,-1.34573366,1
0.97504567,-0.55000581,1.31359301,-0.43121548,0
-1.70288992,1.05958178,0.27494261,1.11446464,1
-1.80522694,-1.85868337,1.34624758,-1.19118450,1
0.77044971,-0.71840576,-0.65624414,-0.33317065,0
-1.24785359,0.09966209,0.51214874,0.26777562,0
-1.23405323,0.42837619,-0.10505651,-0.11889962,0
-1.11060440,1.18080541,0.25996949,0.61300018,1
1.55025905,-1.45707589,0.07902573,-0.09854594,0
-1.92056094,0.50030403,-0.97788769,0.17413422,0
-0.48241871,-0.54156672,1.48150947,-0.81165526,0
1.98954632,0.24574438,0.68627236,0.25451236,0
0.17272095,-1.72447756,1.03077415,0.39424368,0
-1.32881960,1.73023206,0.02217135,-0.10409606,0
0.85325327,1.73340533,1.06724819,1.07563631,0
-0.70689798,-0.60170661,-0.58048685,1.33495421,0
0.47521662,0.99026149,-0.44985611,0.61517133,1
-0.82684078,-1.50903795,-1.07558664,-1.58617821,1
0.74796892,0.21412081,-0.68163549,1.80842335,1
-1.60415017,0.37753918,0.34907825,0.84853623,1
-0.55837841,-1.76538088,-1.02828045,0.10947788,1
1.54128314,-0.28946588,-1.41787486,0.44000134,1
0.75073510,-1.93077500,0.70209361,0.29446246,0
-1.75621945,-0.03760553,0.10879871,1.07413538,0
1.55043538,1.75783545,1.00472881,-2.22697929,1
-1.56016192,1.57926933,0.33889352,-0.48719467,1
-0.59046591,-1.05635076,1.40656135,1.47117763,1
0.87859767,1.13746177,-0.84902244,-1.41795869,1
-1.82820554,-0.42351692,-0.42603145,0.70815225,0
1.48653403,-1.19988184,1.03861105,-0.51154624,0
-0.71476675,1.88327640,0.58002224,-0.52981620,1
-0.77313302,0.11391122,0.63413140,-0.01931501,1
-1.30012759,1.23970409,1.45663447,-0.66997309,1
1.70537653,0.44454648,-1.16250699,0.28589419,0
0.74917928,0.79047136,-1.28010385,0.78408505,1
-0.73174982,0.88122097,-0.78136417,0.03767585,0
1.79992305,0.68053317,-1.17504843,0.61605913,1
0.20215915,0.67417659,0.46118358,0.09853472,0
-1.30544665,-1.84430018,1.06412691,0.28506222,1
1.61562106,-0.88905861,1.37783490,-0.08924780,0
0.81929364,0.22696717,-0.72218861,1.20256636,1
-0.10567288,-1.46158942,0.43527078,-0.14012567,0
-1.51047414,0.60060035,-0.02727019,0.67699036,0
-1.88800422,1.58651624,1.23321765,0.39954517,1
-0.56313003,-0.86279813,-1.02658506,-1.53166943,1
1.81352378,-0.98165363,-0.93356750,-0.70613592,0
-0.18392325,0.26414173,-0.03575276,1.68344222,0
0.86354212,-1.41700493,0.91410984,0.45432498,0
1.80282096,0.16007846,-0.94422397,0.06526042,0
0.35558641,-0.94412387,-0.58435775,-1.87589272,0
0.71531611,1.84734820,-0.66074137,-0.31497935,1
1.78519174,-0.98891497,-0.67909717,0.01543558,0
0.01263061,1.12115403,0.27957379,1.30559120,0
-0.54729946,-1.64575960,1.44279157,-0.38256265,0
-0.29146175,1.31374566,-0.70239274,0.10085393,0
1.74948500,-1.03933669,-1.34306880,-1.76802861,1
0.17512160,0.55722610,-0.54265890,-0.36775067,0
0.67396312,-0.55632157,-1.47823907,-1.52788823,0
-1.72714350,1.47650777,-0.88569462,-0.53536829,0
-0.81258214,1.88436093,-0.65375568,0.68943026,0
-0.09339793,0.98750152,1.47053236,0.81937302,0
-0.13045493,0.03615567,1.04466730,0.10343591,0
-0.82615795,-1.22028475,-0.25732148,0.58186983,1
-0.10837294,-0.61543913,0.52631654,0.31427633,0
0.93615746,-0.49343249,-0.81251915,-1.07787860,0
1.67093826,-0.67707518,-0.31232373,0.44658577,0
0.60949693,1.29537538,1.21289715,-1.43861921,1
-0.85532131,1.91094617,-1.38313931,2.91648193,0
0.50972132,0.56519364,-1.45362510,-0.91335040,1
-0.04449031,0.00733043,0.95767930,0.05953131,0
0.10733950,-1.14720835,0.20906418,0.74625888,0
-1.60040810,-0.11826209,1.38349914,-0.68853896,1
-0.21925696,1.78568247,-0.09720431,1.47206168,0
1.90054127,-1.59716003,0.22843250,1.21092568,0
1.37878526,1.54570368,0.57465887,0.63735819,1
1.55656178,-1.10300063,-0.98440875,-0.29472116,0
-0.67277865,-0.36630101,0.57696655,0.96561190,0
-0.41319346,-0.54363091,-1.20283859,0.43185221,0
-0.35028563,0.43108796,0.46454148,-0.62376166,0
1.48266239,1.09088494,0.99318770,-2.88433740,1
-1.72658051,-1.50597511,1.06731775,-2.67405908,1
-0.99115820,-1.59328443,-1.27543001,-0.94491991,1
0.63538060,0.32780965,1.28770563,0.44570752,1
1.42945805,0.11765760,0.07659871,2.30473531,1
-0.45564062,0.20080832,0.17196518,-1.07031196,0
0.72337978,-1.75188952,-1.07148983,-0.06971399,1
-0.91543353,-1.98606753,-1.02162777,-1.40522845,1
-1.70759672,-1.40774895,-1.17915612,-0.69987512,1
-1.19416978,-0.86712746,-0.16364894,0.08509209,0
1.61615219,-0.54977639,-0.61139412,0.10890890,0
1.82795496,0.27600161,-0.74573222,1.14041035,1
-0.77558234,-1.03976033,-1.23791722,-0.45432766,1
0.55678883,-0.52752472,-0.79258812,1.50451807,0
-1.05952444,-1.56478528,-0.07032816,-0.65891450,0
-1.25003889,0.49353809,1.14584612,0.91036865,1
-1.12572698,1.14873959,1.07410298,-0.05285166,1
1.38230474,1.12263397,0.21927979,0.73328888,1
-0.90047406,0.77194029,1.00777080,0.05792796,1
-1.23899898,-0.28802390,1.30596463,-1.16455211,1
-0.16445169,-0.47995908,-0.20322994,0.93528948,0
0.74535423,0.01970862,-0.34784302,2.37734938,1
-0.26866461,-1.78572202,1.39470991,-0.29775107,0
1.26536785,-0.41003138,0.52318153,-0.24561220,0
1.73149018,-0.36607152,1.29731025,1.50388267,0
-0.85416996,0.04691189,1.30404377,-0.27889534,1
1.05592689,0.95672838,-0.41067427,0.39734420,1
-1.49587991,1.51441291,0.34158989,1.29671874,1
-1.98034561,-0.47536754,1.01763176,-0.05732522,1
-1.77699140,1.01994469,-0.31403239,-0.71323023,0
-1.18714583,-0.44667942,0.51545764,0.09707470,1
-1.94950177,1.63188548,-0.64179636,0.93198962,0
-1.20296443,1.63179482,-0.42748862,-0.64207070,0
-0.18451616,-0.16122870,-0.61289978,0.23772324,1
-1.09598454,0.51188286,-0.19455642,-0.52041577,0
-0.59186861,1.62553641,0.95859608,-0.82865870,0
-0.93058376,1.36050312,0.25543666,1.35692050,1
-1.17298747,1.40385607,-0.76109746,0.13325110,0
-0.55448369,0.49560708,-0.11428463,-0.05930516,0
-0.76644237,-0.70037946,-0.33386119,0.77175062,1
0.23473385,-0.74482189,0.88435348,0.30553753,1
-0.04292376,1.68798927,-1.32974615,0.03352695,0
-1.79954502,-0.33708023,-1.18748847,-0.64330804,0
0.14187571,0.78887354,-0.55665041,0.26506872,0
0.80753095,1.04488625,-0.97933625,-0.80114111,1
-1.08368229,1.33788279,0.57269044,0.42126191,1
-0.87604755,-0.76045925,-1.34316259,-0.98723816,0
-1.57459599,-0.38806133,-0.31290663,-0.04269439,0
-1.36684208,-0.71169931,-1.07563523,-0.53248603,1
1.86391375,0.01931341,-0.52639753,3.00502093,1
-0.34886661,1.85518998,-0.16636728,-0.53716488,0
0.25000163,-0.74569598,-0.90927855,2.24604748,0
1.09128220,-0.06929927,-0.45507182,-0.53369131,1
1.70305673,-1.68011236,-0.69274024,-0.18038764,1
-0.11234597,-1.19589486,-0.59325773,0.43918260,1
-0.00958064,-0.76780125,-1.04202351,-1.31350256,0
-1.49261793,-0.84181883,-0.27674542,0.08111682,0
-1.80730990,1.23975638,-0.43335154,-0.64449478,0
1.26231914,0.54396507,-0.18045230,0.07801066,1
