job_id,arrival_time,duration,priority,priority_name
JOB-0000,0,4,3,batch
JOB-0001,1,7,3,batch
JOB-0002,2,6,3,batch
JOB-0003,4,5,3,batch
JOB-0004,5,8,1,critical
JOB-0005,8,6,1,critical
JOB-0006,11,10,2,standard
JOB-0007,12,7,2,standard
JOB-0008,13,5,2,standard
JOB-0009,13,9,1,critical
JOB-0010,14,5,2,standard
JOB-0011,15,3,3,batch
JOB-0012,17,8,2,standard
JOB-0013,18,5,2,standard
JOB-0014,21,1,1,critical
JOB-0015,22,10,3,batch
JOB-0016,23,2,3,batch
JOB-0017,29,5,2,standard
JOB-0018,29,2,2,standard
JOB-0019,29,2,2,standard
JOB-0020,30,1,2,standard
JOB-0021,31,3,1,critical
JOB-0022,32,1,2,standard
JOB-0023,33,8,2,standard
JOB-0024,35,10,1,critical
JOB-0025,36,3,2,standard
JOB-0026,37,7,3,batch
JOB-0027,37,4,3,batch
JOB-0028,38,8,3,batch
JOB-0029,39,3,2,standard
JOB-0030,40,8,1,critical
JOB-0031,43,5,2,standard
JOB-0032,45,9,3,batch
JOB-0033,46,10,1,critical
JOB-0034,48,3,3,batch
JOB-0035,51,5,1,critical
JOB-0036,52,3,3,batch
JOB-0037,53,4,3,batch
JOB-0038,53,2,3,batch
JOB-0039,53,9,2,standard
JOB-0040,54,2,2,standard
JOB-0041,55,8,3,batch
JOB-0042,58,6,1,critical
JOB-0043,60,9,2,standard
JOB-0044,60,5,3,batch
JOB-0045,62,3,1,critical
JOB-0046,65,7,2,standard
JOB-0047,66,8,3,batch
JOB-0048,69,9,3,batch
JOB-0049,70,3,2,standard
JOB-0050,70,8,2,standard
JOB-0051,71,5,2,standard
JOB-0052,72,1,1,critical
JOB-0053,73,6,1,critical
JOB-0054,75,9,2,standard
JOB-0055,81,6,2,standard
JOB-0056,83,5,2,standard
JOB-0057,83,8,2,standard
JOB-0058,85,4,2,standard
JOB-0059,86,10,2,standard
JOB-0060,87,9,1,critical
JOB-0061,89,9,2,standard
JOB-0062,92,1,3,batch
JOB-0063,93,1,2,standard
JOB-0064,99,6,3,batch
JOB-0065,99,9,3,batch
JOB-0066,100,1,1,critical
JOB-0067,101,7,3,batch
JOB-0068,102,5,3,batch
JOB-0069,108,1,1,critical
JOB-0070,111,3,2,standard
JOB-0071,111,4,3,batch
JOB-0072,113,5,2,standard
JOB-0073,114,8,2,standard
JOB-0074,117,2,3,batch
JOB-0075,117,8,1,critical
JOB-0076,120,1,1,critical
JOB-0077,121,1,3,batch
JOB-0078,122,2,2,standard
JOB-0079,125,8,2,standard
JOB-0080,128,9,2,standard
JOB-0081,129,2,2,standard
JOB-0082,131,6,2,standard
JOB-0083,132,3,2,standard
JOB-0084,132,9,2,standard
JOB-0085,132,7,2,standard
JOB-0086,132,7,1,critical
JOB-0087,133,7,2,standard
JOB-0088,135,7,2,standard
JOB-0089,135,2,2,standard
JOB-0090,136,5,2,standard
JOB-0091,139,4,2,standard
JOB-0092,141,3,3,batch
JOB-0093,143,2,3,batch
JOB-0094,145,4,3,batch
JOB-0095,151,3,2,standard
JOB-0096,151,2,2,standard
JOB-0097,152,1,2,standard
JOB-0098,154,3,1,critical
JOB-0099,157,6,3,batch
JOB-0100,158,10,3,batch
JOB-0101,158,5,2,standard
JOB-0102,159,5,2,standard
JOB-0103,159,6,1,critical
JOB-0104,161,6,2,standard
JOB-0105,164,10,2,standard
JOB-0106,166,2,3,batch
JOB-0107,172,8,1,critical
JOB-0108,173,2,2,standard
JOB-0109,174,7,2,standard
JOB-0110,176,9,2,standard
JOB-0111,176,4,3,batch
JOB-0112,177,7,1,critical
JOB-0113,177,3,1,critical
JOB-0114,179,2,3,batch
JOB-0115,179,4,2,standard
JOB-0116,180,3,2,standard
JOB-0117,181,5,2,standard
JOB-0118,183,9,2,standard
JOB-0119,184,10,3,batch
JOB-0120,190,3,3,batch
JOB-0121,191,4,1,critical
JOB-0122,192,3,2,standard
JOB-0123,195,6,2,standard
JOB-0124,196,6,2,standard
JOB-0125,197,8,1,critical
JOB-0126,197,5,2,standard
JOB-0127,200,8,1,critical
JOB-0128,201,9,2,standard
JOB-0129,203,6,3,batch
JOB-0130,206,3,1,critical
JOB-0131,209,5,2,standard
JOB-0132,212,7,1,critical
JOB-0133,212,9,2,standard
JOB-0134,213,1,3,batch
JOB-0135,215,4,2,standard
JOB-0136,215,6,2,standard
JOB-0137,215,3,2,standard
JOB-0138,217,8,3,batch
JOB-0139,217,3,2,standard
JOB-0140,217,2,2,standard
JOB-0141,219,10,2,standard
JOB-0142,221,1,2,standard
JOB-0143,227,2,2,standard
JOB-0144,233,4,2,standard
JOB-0145,233,4,2,standard
JOB-0146,235,5,3,batch
JOB-0147,236,6,2,standard
JOB-0148,236,10,3,batch
JOB-0149,236,3,1,critical
JOB-0150,239,3,3,batch
JOB-0151,240,2,2,standard
JOB-0152,241,5,3,batch
JOB-0153,242,6,1,critical
JOB-0154,244,5,2,standard
JOB-0155,246,10,3,batch
JOB-0156,247,5,3,batch
JOB-0157,248,7,1,critical
JOB-0158,250,9,2,standard
JOB-0159,251,3,3,batch
JOB-0160,252,2,2,standard
JOB-0161,253,5,2,standard
JOB-0162,255,2,2,standard
JOB-0163,256,9,2,standard
JOB-0164,257,7,3,batch
JOB-0165,258,10,1,critical
JOB-0166,259,10,3,batch
JOB-0167,261,7,2,standard
JOB-0168,262,6,1,critical
JOB-0169,262,2,2,standard
JOB-0170,263,5,1,critical
JOB-0171,264,8,2,standard
JOB-0172,265,8,2,standard
JOB-0173,266,4,1,critical
JOB-0174,267,9,2,standard
JOB-0175,268,8,1,critical
JOB-0176,270,7,2,standard
JOB-0177,271,4,3,batch
JOB-0178,272,10,1,critical
JOB-0179,273,8,2,standard
JOB-0180,273,4,2,standard
JOB-0181,275,7,1,critical
JOB-0182,276,6,2,standard
JOB-0183,276,9,3,batch
JOB-0184,276,7,2,standard
JOB-0185,277,2,2,standard
JOB-0186,278,8,2,standard
JOB-0187,281,2,2,standard
JOB-0188,282,6,2,standard
JOB-0189,283,3,3,batch
JOB-0190,283,7,3,batch
JOB-0191,284,9,1,critical
JOB-0192,286,1,3,batch
JOB-0193,287,1,2,standard
JOB-0194,293,3,2,standard
JOB-0195,293,5,3,batch
JOB-0196,293,2,2,standard
JOB-0197,296,1,3,batch
JOB-0198,297,6,1,critical
JOB-0199,300,6,2,standard
JOB-0200,300,3,1,critical
