rank,failed_task,directly_blocked_count,blocked_descendants,unavailable_tasks,unavailable_percent,unaffected_count,directly_blocked,transitively_blocked
1,ingest_customers,2,17,18,75.00,6,validate_customers|archive_raw,validate_customers|archive_raw|clean_customers|notify_complete|publish_dashboard|join_sales|build_customer_features|aggregate_daily|train_churn_model|build_product_features|quality_sales|train_demand_model|score_customers|quality_models|forecast_demand|publish_scores|publish_forecast
2,ingest_orders,2,17,18,75.00,6,validate_orders|archive_raw,validate_orders|archive_raw|clean_orders|quality_sales|notify_complete|publish_dashboard|join_sales|build_customer_features|aggregate_daily|train_churn_model|build_product_features|train_demand_model|score_customers|quality_models|forecast_demand|publish_scores|publish_forecast
3,ingest_products,2,17,18,75.00,6,validate_products|archive_raw,validate_products|archive_raw|clean_products|notify_complete|publish_dashboard|join_sales|build_product_features|aggregate_daily|train_demand_model|quality_models|build_customer_features|quality_sales|forecast_demand|publish_scores|publish_forecast|train_churn_model|score_customers
4,validate_customers,1,15,16,66.67,8,clean_customers,clean_customers|join_sales|build_customer_features|aggregate_daily|train_churn_model|build_product_features|quality_sales|publish_dashboard|train_demand_model|score_customers|quality_models|notify_complete|forecast_demand|publish_scores|publish_forecast
5,validate_orders,2,15,16,66.67,8,clean_orders|quality_sales,clean_orders|quality_sales|join_sales|build_customer_features|publish_dashboard|aggregate_daily|train_churn_model|notify_complete|build_product_features|train_demand_model|score_customers|quality_models|forecast_demand|publish_scores|publish_forecast
6,validate_products,1,15,16,66.67,8,clean_products,clean_products|join_sales|build_product_features|aggregate_daily|train_demand_model|quality_models|build_customer_features|quality_sales|publish_dashboard|forecast_demand|publish_scores|publish_forecast|train_churn_model|notify_complete|score_customers
7,clean_customers,2,14,15,62.50,9,join_sales|build_customer_features,join_sales|build_customer_features|aggregate_daily|train_churn_model|build_product_features|quality_sales|publish_dashboard|train_demand_model|score_customers|quality_models|notify_complete|forecast_demand|publish_scores|publish_forecast
8,clean_orders,2,14,15,62.50,9,join_sales|build_customer_features,join_sales|build_customer_features|aggregate_daily|train_churn_model|build_product_features|quality_sales|publish_dashboard|train_demand_model|score_customers|quality_models|notify_complete|forecast_demand|publish_scores|publish_forecast
9,clean_products,2,14,15,62.50,9,join_sales|build_product_features,join_sales|build_product_features|aggregate_daily|train_demand_model|quality_models|build_customer_features|quality_sales|publish_dashboard|forecast_demand|publish_scores|publish_forecast|train_churn_model|notify_complete|score_customers
10,join_sales,1,13,14,58.33,10,aggregate_daily,aggregate_daily|build_customer_features|build_product_features|quality_sales|publish_dashboard|train_demand_model|train_churn_model|quality_models|notify_complete|forecast_demand|score_customers|publish_scores|publish_forecast
11,aggregate_daily,5,12,13,54.17,11,build_customer_features|build_product_features|quality_sales|publish_dashboard|train_demand_model,build_customer_features|build_product_features|quality_sales|publish_dashboard|train_demand_model|train_churn_model|quality_models|notify_complete|forecast_demand|score_customers|publish_scores|publish_forecast
12,build_customer_features,1,6,7,29.17,17,train_churn_model,train_churn_model|score_customers|quality_models|publish_scores|publish_forecast|notify_complete
13,build_product_features,2,6,7,29.17,17,train_demand_model|quality_models,train_demand_model|quality_models|forecast_demand|publish_scores|publish_forecast|notify_complete
14,train_churn_model,2,5,6,25.00,18,score_customers|quality_models,score_customers|quality_models|publish_scores|publish_forecast|notify_complete
15,train_demand_model,2,5,6,25.00,18,forecast_demand|quality_models,forecast_demand|quality_models|publish_forecast|publish_scores|notify_complete
16,quality_models,2,3,4,16.67,20,publish_scores|publish_forecast,publish_scores|publish_forecast|notify_complete
17,score_customers,1,2,3,12.50,21,publish_scores,publish_scores|notify_complete
18,forecast_demand,1,2,3,12.50,21,publish_forecast,publish_forecast|notify_complete
19,quality_sales,1,2,3,12.50,21,publish_dashboard,publish_dashboard|notify_complete
20,archive_raw,2,2,3,12.50,21,notify_complete|publish_dashboard,notify_complete|publish_dashboard
21,publish_dashboard,1,1,2,8.33,22,notify_complete,notify_complete
22,publish_scores,1,1,2,8.33,22,notify_complete,notify_complete
23,publish_forecast,1,1,2,8.33,22,notify_complete,notify_complete
24,notify_complete,0,0,1,4.17,23,,
