prerequisite,dependent
ingest_customers,validate_customers
ingest_customers,archive_raw
ingest_orders,validate_orders
ingest_orders,archive_raw
ingest_products,validate_products
ingest_products,archive_raw
validate_customers,clean_customers
validate_orders,clean_orders
validate_orders,quality_sales
validate_products,clean_products
clean_customers,join_sales
clean_customers,build_customer_features
clean_orders,join_sales
clean_orders,build_customer_features
clean_products,join_sales
clean_products,build_product_features
join_sales,aggregate_daily
aggregate_daily,build_customer_features
aggregate_daily,build_product_features
aggregate_daily,quality_sales
aggregate_daily,publish_dashboard
aggregate_daily,train_demand_model
build_customer_features,train_churn_model
build_product_features,train_demand_model
build_product_features,quality_models
train_churn_model,score_customers
train_churn_model,quality_models
train_demand_model,forecast_demand
train_demand_model,quality_models
score_customers,publish_scores
forecast_demand,publish_forecast
quality_sales,publish_dashboard
quality_models,publish_scores
quality_models,publish_forecast
publish_dashboard,notify_complete
publish_scores,notify_complete
publish_forecast,notify_complete
archive_raw,notify_complete
archive_raw,publish_dashboard
