task,category,topological_position,level,duration_minutes,earliest_start,earliest_finish,in_degree,out_degree,upstream_count,downstream_count,on_critical_path
ingest_customers,ingest,0,0,8,0,8,0,2,0,17,false
ingest_orders,ingest,1,0,13,0,13,0,2,0,17,true
ingest_products,ingest,2,0,7,0,7,0,2,0,17,false
validate_customers,validation,3,1,10,8,18,1,1,1,15,false
validate_orders,validation,4,1,13,13,26,1,2,1,15,true
validate_products,validation,5,1,17,7,24,1,1,1,15,false
archive_raw,archive,6,1,17,13,30,3,2,3,2,false
clean_customers,transform,7,2,15,18,33,1,2,2,14,false
clean_orders,transform,8,2,11,26,37,1,2,2,14,true
clean_products,transform,9,2,8,24,32,1,2,2,14,false
join_sales,transform,10,3,17,37,54,3,1,9,13,true
aggregate_daily,transform,11,4,10,54,64,1,5,10,12,true
build_customer_features,feature,12,5,6,64,70,3,1,11,6,true
build_product_features,feature,13,5,8,64,72,2,2,11,6,false
quality_sales,quality,14,5,18,64,82,2,1,11,2,false
train_churn_model,model,15,6,14,70,84,1,2,12,5,true
train_demand_model,model,16,6,9,72,81,2,2,12,5,false
publish_dashboard,publish,17,6,5,82,87,3,1,13,1,false
score_customers,inference,18,7,17,84,101,1,1,13,2,true
forecast_demand,inference,19,7,8,81,89,1,1,13,2,false
quality_models,quality,20,7,7,84,91,3,2,15,3,false
publish_scores,publish,21,8,10,101,111,2,1,17,1,true
publish_forecast,publish,22,8,9,91,100,2,1,17,1,false
notify_complete,notify,23,9,2,111,113,4,0,23,0,true
