first,second,travel_time
r0c0,r0c1,5.389
r0c0,r1c0,5.407
r0c1,r0c2,3.113
r0c1,r1c1,4.337
r0c2,r0c3,5.805
r0c2,r1c2,2.837
r0c3,r0c4,5.166
r0c3,r1c3,5.683
r0c4,r0c5,3.809
r0c4,r1c4,5.658
r0c5,r0c6,1.795
r0c5,r1c5,5.747
r0c6,r0c7,3.359
r0c6,r1c6,5.104
r0c7,r0c8,5.415
r0c7,r1c7,2.284
r0c8,r0c9,2.798
r0c8,r1c8,3.328
r0c9,r0c10,2.537
r0c9,r1c9,1.778
r0c10,r0c11,5.476
r0c10,r1c10,3.548
r0c11,r0c12,3.523
r0c11,r1c11,1.963
r0c12,r0c13,2.513
r0c12,r1c12,2.266
r0c13,r0c14,5.687
r0c13,r1c13,5.523
r0c14,r0c15,5.083
r0c14,r1c14,2.724
r0c15,r1c15,3.382
r1c0,r1c1,5.011
r1c0,r2c0,3.315
r1c1,r1c2,4.112
r1c1,r2c1,4.360
r1c2,r1c3,2.159
r1c2,r2c2,5.404
r1c3,r1c4,3.773
r1c3,r2c3,5.157
r1c4,r1c5,3.151
r1c4,r2c4,5.957
r1c5,r1c6,5.845
r1c5,r2c5,1.346
r1c6,r1c7,3.230
r1c6,r2c6,4.501
r1c7,r1c8,3.284
r1c7,r2c7,2.240
r1c8,r1c9,3.802
r1c8,r2c8,3.642
r1c9,r1c10,1.084
r1c9,r2c9,2.906
r1c10,r1c11,3.735
r1c10,r2c10,3.274
r1c11,r1c12,2.152
r1c11,r2c11,5.751
r1c12,r1c13,3.899
r1c12,r2c12,4.926
r1c13,r1c14,3.356
r1c13,r2c13,3.221
r1c14,r1c15,2.196
r1c14,r2c14,1.705
r1c15,r2c15,5.317
r2c0,r2c1,1.160
r2c0,r3c0,5.305
r2c1,r2c2,2.768
r2c1,r3c1,4.189
r2c2,r2c3,2.919
r2c2,r3c2,2.910
r2c3,r2c4,3.971
r2c3,r3c3,1.989
r2c4,r2c5,3.964
r2c4,r3c4,5.796
r2c5,r2c6,1.742
r2c5,r3c5,5.785
r2c6,r2c7,1.690
r2c6,r3c6,2.673
r2c7,r2c8,2.543
r2c7,r3c7,3.135
r2c8,r2c9,2.970
r2c8,r3c8,4.206
r2c9,r2c10,5.285
r2c9,r3c9,5.024
r2c10,r2c11,1.775
r2c10,r3c10,1.090
r2c11,r2c12,3.744
r2c11,r3c11,4.169
r2c12,r2c13,4.084
r2c12,r3c12,5.554
r2c13,r2c14,3.614
r2c13,r3c13,5.954
r2c14,r2c15,5.220
r2c14,r3c14,5.433
r2c15,r3c15,4.872
r3c0,r3c1,5.209
r3c0,r4c0,3.679
r3c1,r3c2,2.191
r3c1,r4c1,2.877
r3c2,r3c3,4.236
r3c2,r4c2,2.690
r3c3,r3c4,3.050
r3c3,r4c3,4.244
r3c4,r3c5,2.404
r3c4,r4c4,3.764
r3c5,r3c6,1.699
r3c5,r4c5,1.631
r3c6,r3c7,5.027
r3c6,r4c6,4.347
r3c7,r3c8,3.385
r3c7,r4c7,2.239
r3c8,r3c9,5.290
r3c8,r4c8,5.691
r3c9,r3c10,5.046
r3c9,r4c9,1.418
r3c10,r3c11,3.024
r3c10,r4c10,3.105
r3c11,r3c12,5.700
r3c11,r4c11,2.961
r3c12,r3c13,5.394
r3c12,r4c12,5.063
r3c13,r3c14,1.139
r3c13,r4c13,3.465
r3c14,r3c15,2.676
r3c14,r4c14,1.014
r3c15,r4c15,2.080
r4c0,r4c1,4.433
r4c0,r5c0,3.792
r4c1,r4c2,1.052
r4c1,r5c1,1.628
r4c2,r4c3,5.821
r4c2,r5c2,2.030
r4c3,r4c4,3.094
r4c3,r5c3,4.948
r4c4,r4c5,1.298
r4c4,r5c4,5.530
r4c5,r4c6,3.004
r4c5,r5c5,5.530
r4c6,r4c7,4.627
r4c6,r5c6,2.952
r4c7,r4c8,5.993
r4c7,r5c7,1.825
r4c8,r4c9,2.035
r4c8,r5c8,1.910
r4c9,r4c10,1.318
r4c9,r5c9,2.239
r4c10,r4c11,2.767
r4c10,r5c10,2.203
r4c11,r4c12,3.809
r4c11,r5c11,4.737
r4c12,r4c13,2.287
r4c12,r5c12,3.014
r4c13,r4c14,2.207
r4c13,r5c13,2.638
r4c14,r4c15,5.497
r4c14,r5c14,2.416
r4c15,r5c15,2.451
r5c0,r5c1,5.052
r5c0,r6c0,4.301
r5c1,r5c2,2.509
r5c1,r6c1,1.491
r5c2,r5c3,1.121
r5c2,r6c2,3.215
r5c3,r5c4,3.860
r5c3,r6c3,4.345
r5c4,r5c5,2.242
r5c4,r6c4,3.895
r5c5,r5c6,3.037
r5c5,r6c5,5.405
r5c6,r5c7,5.941
r5c6,r6c6,3.953
r5c7,r5c8,2.205
r5c7,r6c7,2.847
r5c8,r5c9,4.699
r5c8,r6c8,1.035
r5c9,r5c10,1.615
r5c9,r6c9,1.221
