fitted_decile,mean_fitted,residual_sd,true_mean_sd,n
1,1508.3298453048112,286.47162919050453,327.0945563703241,40
2,1846.7455718477438,357.8901160442784,424.423011030991,40
3,2137.0516968122915,381.6605624529942,507.9151312405444,40
4,2418.213097508213,576.3077734181273,588.7772262723215,40
5,2706.0781164016726,692.6620571901666,671.5672837143172,40
6,2993.7170840347767,653.9841830193876,754.2923287525772,40
7,3286.959856935203,809.696594722077,838.6290297042884,40
8,3631.3011510038814,894.8680800131548,937.6616791911231,40
9,3964.792945054218,1160.4595272277986,1033.5740095325878,40
10,4322.110580035748,969.4566147556399,1136.3386581824036,40
