repetition,beta_insulation,beta_thermal,beta_sum
1,-28.297684669836173,-21.05950444318925,-49.35718911302543
2,-29.17729115782523,-17.873594447520993,-47.050885605346224
3,-25.525522746502837,-21.624387391050668,-47.149910137553505
4,-30.571690169538023,-17.476947927169086,-48.04863809670711
5,-34.97808582888789,-13.131146701599977,-48.10923253048787
6,-39.554179451211496,-6.701121201947874,-46.25530065315937
7,-40.39611468390581,-9.295031526189245,-49.691146210095056
8,-16.12044311019451,-31.15952681621139,-47.2799699264059
9,-24.501249740433853,-23.1840532781617,-47.68530301859555
10,-36.182925028255404,-11.59567459226465,-47.778599620520055
11,-42.87324470285906,-6.672769139737959,-49.54601384259702
12,-25.61643799840848,-21.570912660241042,-47.18735065864952
13,-36.71456871652747,-12.218343592899384,-48.932912309426854
14,-33.96967531206022,-15.111249284424545,-49.08092459648476
15,-40.98273204661919,-4.839007539969259,-45.82173958658845
16,-36.688017784398184,-7.178643608328267,-43.86666139272645
17,-35.47413126217461,-13.3010893632355,-48.77522062541011
18,-43.94469367460444,-4.609943235341149,-48.554636909945586
19,-23.23132602296711,-26.19938908741822,-49.43071511038533
20,-22.577220799174874,-22.902911588539663,-45.480132387714534
21,-36.189158849997824,-12.190843764580944,-48.38000261457877
22,-34.559493818988095,-12.650048096590908,-47.209541915579
23,-32.93847450182152,-12.88436071254118,-45.8228352143627
24,-34.49294326368542,-12.732302600473284,-47.2252458641587
25,-19.276004675403232,-28.607076962403113,-47.88308163780634
26,-40.415720940124906,-6.265597445813526,-46.68131838593843
27,-18.00309408882655,-32.32049434142756,-50.32358843025411
28,-22.445205737854028,-25.339396378943178,-47.7846021167972
29,-33.9372179787566,-15.170041706322529,-49.10725968507913
30,-24.14429602500065,-24.509548732714645,-48.65384475771529
31,-45.788936858034866,-1.0737138292635677,-46.862650687298434
32,-22.34225703294016,-24.935849170844975,-47.278106203785136
33,-21.905360771707908,-25.14659252973909,-47.051953301447
34,-21.69754816427421,-23.561965517921344,-45.25951368219555
35,-32.34537826648871,-14.072222331348465,-46.41760059783717
36,-32.27182970900572,-15.273440808504692,-47.54527051751042
37,-29.373888824334536,-17.251924907095706,-46.62581373143024
38,-2.587580492464703,-45.41230532656873,-47.99988581903343
39,-36.429998586318284,-12.906403469871151,-49.336402056189435
40,-15.663128230779257,-32.511716556939845,-48.1748447877191
41,-9.403429115118094,-37.78924540915371,-47.1926745242718
42,-36.65371170229841,-10.905975841290237,-47.559687543588645
43,-25.41321805551707,-21.2734205422196,-46.686638597736675
44,-24.775920812619223,-23.29832300321988,-48.074243815839104
45,-30.800378071370687,-16.913413259458558,-47.713791330829245
46,-26.41936491873597,-20.47054365292059,-46.88990857165656
47,-12.551461855125217,-36.35418184537691,-48.905643700502125
48,-26.484142586728197,-18.430111448007807,-44.914254034736004
49,-20.207355037783657,-27.38694023587379,-47.59429527365745
50,-37.48668089165536,-13.208607601462548,-50.69528849311791
51,-28.498260250062295,-19.21778057509029,-47.71604082515259
52,-30.467405044013773,-18.41611312290559,-48.88351816691936
53,-26.909259101073125,-21.459603019999392,-48.36886212107252
54,-38.2690380846629,-9.514058434770801,-47.783096519433705
55,-31.738957893685374,-18.070646622853815,-49.80960451653919
56,-19.713934032131746,-27.385761138104424,-47.099695170236174
57,-57.78977780754011,10.24474599870532,-47.54503180883479
58,-21.258228650718273,-28.15769728891606,-49.415925939634334
59,-27.903889994055753,-18.541442978518116,-46.445332972573866
60,-41.723493302664195,-4.483034079270681,-46.206527381934876
61,-34.26610458303168,-14.645494804132483,-48.91159938716416
62,-40.643923309769136,-7.185609759134004,-47.82953306890314
63,-31.677878546629294,-17.929765099566566,-49.60764364619586
64,-22.16754211407404,-24.927932991186065,-47.09547510526011
65,-31.60350903953031,-15.054732234710093,-46.6582412742404
66,-34.44212072033501,-12.7608553995791,-47.20297611991411
67,-39.00718199782257,-7.1137170492317665,-46.12089904705434
68,-18.205182862784895,-30.338109833661946,-48.54329269644684
69,-42.90002488311808,-6.998414198452885,-49.89843908157096
70,-28.426039082994734,-19.696454717043224,-48.12249380003796
71,-27.973679475361962,-17.72021099664243,-45.69389047200439
72,-34.97430845394045,-15.215679303354843,-50.1899877572953
73,-31.79564687092283,-15.582111285684434,-47.377758156607264
74,-37.29742085697289,-10.298027932936261,-47.595448789909156
75,-26.851002789083445,-23.868308301812817,-50.71931109089626
76,-36.634730736910605,-9.576584581383813,-46.21131531829442
77,-44.17223414208455,-2.9116261339798513,-47.0838602760644
78,-33.956282027846235,-15.030014570519992,-48.98629659836622
79,-31.835454490695454,-12.185981183095258,-44.02143567379071
80,-29.340805404059385,-20.100941002103433,-49.44174640616282
81,-28.091842577815477,-17.70747212159239,-45.799314699407866
82,-35.20798153716482,-15.22624531109689,-50.43422684826171
83,-45.82570547768333,-3.685340099850851,-49.511045577534176
84,-26.065002806371027,-20.96143868690337,-47.0264414932744
85,-28.105374608021492,-18.885870608197123,-46.991245216218616
86,-11.048675495247863,-37.308842319436536,-48.3575178146844
87,-36.991623081256584,-8.823835265670937,-45.81545834692752
88,-42.90370297596763,-5.7803357622997895,-48.684038738267425
89,-46.86108636067839,-0.1692760369648903,-47.03036239764328
90,-27.199690044522605,-21.057241010351575,-48.25693105487418
91,-25.868904664697464,-24.06582464493566,-49.93472930963313
92,-38.94676957568123,-9.082413773767001,-48.02918334944823
93,-44.73268396187548,-5.767204519914557,-50.49988848179004
94,-30.026996121318412,-19.30820278439273,-49.33519890571114
95,-22.43425825890875,-24.699947063893646,-47.134205322802394
96,-33.22231371913924,-14.265833875589152,-47.48814759472839
97,-22.360760301032002,-25.54830325610967,-47.90906355714167
98,-32.65260971470791,-16.262408803738822,-48.91501851844673
99,-18.544275508814138,-28.167943615132906,-46.712219123947044
100,-32.05807965188132,-17.061442101839297,-49.11952175372062
101,-41.67848905629211,-7.82879235294487,-49.50728140923698
102,-21.251930834894814,-29.161661335963544,-50.41359217085836
103,-8.55309166295875,-38.611036875536996,-47.164128538495746
104,-8.998370905294967,-38.18667033242102,-47.18504123771599
105,-15.53576598039784,-32.88592055119661,-48.42168653159445
106,-46.26488891925642,-3.4533703805755422,-49.71825929983196
107,-36.828913107247374,-11.77718122938348,-48.60609433663085
