loan_id,income_thousand_eur,debt_to_income,prior_late_payments,defaulted,oracle_default_probability
1,23.233240734591888,0.5677431805646079,1,0,0.5315501204080633
2,52.23517953068438,0.10462887537571426,0,0,0.04632666194542536
3,63.5817710547781,0.2906314364809971,0,1,0.09381231053721335
4,69.54538668847289,0.20630691131183143,2,0,0.17019138866663383
5,64.93289596226593,0.2809527238755,0,0,0.08861844054149542
6,31.032291056627745,0.08171875871587929,1,1,0.09111157803527749
7,106.44582383670382,0.2814831410605901,1,0,0.09567508382149258
8,38.66984585876734,0.1749773715116876,2,1,0.2035671705130404
9,54.70051841117698,0.4249417171971645,0,0,0.17995004443218884
10,52.462121567539,0.31376916418834944,3,0,0.4296073158479928
11,34.615215488825726,0.48253133241875934,2,1,0.5401056078641698
12,40.451627732800716,0.2910038665458413,1,1,0.19645481337186235
13,67.9507183008576,0.5220892689849022,0,0,0.22981074845267488
14,72.73655701967438,0.2195849488810898,0,0,0.06187128814114619
15,39.93501819480842,0.21931666231157768,1,0,0.14848916408526044
16,85.01323999983198,0.32954438217083615,0,0,0.08799657553813969
17,54.877154975201655,0.21080629726427136,0,1,0.07265148445343908
18,97.16836281701977,0.5881007138383237,0,0,0.22389043015524324
19,42.22759103492316,0.22618753601998318,1,0,0.14918203593012283
20,40.68414560588159,0.5777811882885776,1,0,0.49128587157794845
21,61.472198224447126,0.30777612417362693,1,0,0.17074719598346763
22,42.671386025399805,0.06841465693175384,0,0,0.04378605554968564
23,50.87633334347342,0.059177827109885735,0,0,0.03818194907141692
24,70.09545077551518,0.2091958049993109,1,0,0.10367839362982467
25,48.39871545513521,0.19904882630558257,1,0,0.12506125518886888
26,107.98486363378186,0.1953515695104983,0,0,0.03703581402453146
27,39.66758263486587,0.4047468433711068,0,0,0.19259651136006092
28,34.96162783797778,0.31775767788664194,0,0,0.1425460120333587
29,51.39940847135782,0.2130933547541222,2,1,0.20850759785509523
30,65.03930539085817,0.47162954810896923,0,0,0.1951873212674963
31,113.76672381967605,0.5513137979646489,2,1,0.38724812246611795
32,34.176434159579465,0.16684528062756146,2,1,0.2059914015006149
33,67.82888762618978,0.1330868534016119,4,0,0.31970458172344013
34,90.43601704894226,0.18469534868210255,1,0,0.07455797131884874
35,49.430843545419904,0.156051425123965,1,0,0.10301881157770605
36,99.05348165239417,0.09206504544812547,2,0,0.07679373917766329
37,79.37051095806227,0.05076307142524198,2,0,0.07952756315266836
38,80.25386765000074,0.5924028320826621,2,1,0.5350641437877252
39,37.48622414134359,0.1355697725216462,0,0,0.06302649678898313
40,23.117188227944578,0.2643089359917974,1,0,0.20937061385688804
41,99.45991988776902,0.3499924606394031,2,1,0.22208531868835718
42,36.022456546335086,0.0532256773686818,0,0,0.04407502117662109
43,51.521678963588066,0.3002418250590606,1,0,0.18285853847487668
44,48.99478349320829,0.16428184081106412,0,0,0.06300968117691867
45,26.97405889695963,0.41399596970487157,0,0,0.22504439461792738
46,30.646791663503755,0.09758005185767518,0,0,0.05735783735691751
47,57.24261318397342,0.22405611473912618,3,0,0.31616725367459
48,74.93086597394378,0.27066983182030013,0,0,0.07586132080104231
49,16.856842426394294,0.08239749049036656,0,0,0.06257481009429046
50,90.10841777348107,0.3082578882241233,2,0,0.2072366872282474
51,97.4852883563792,0.3489255932543645,0,0,0.0835562515464958
52,67.11615017133965,0.2688613659651217,0,0,0.08204660021474255
53,52.785710692969516,0.22959448997570944,0,0,0.08081127396415135
54,56.224550494041544,0.48488562980343813,0,1,0.2231776525123136
55,15.0,0.20075428165478074,1,0,0.17706221301708727
56,43.679242257333485,0.44173488092837165,0,1,0.2135222350338868
57,41.865026913806446,0.34574823429452023,2,0,0.35829114396853845
58,32.47142654646606,0.2187081953257373,1,0,0.15978108907679658
59,39.364651352128966,0.1546530609511287,0,0,0.06722987167656731
60,26.90833223292754,0.16319861948118827,1,0,0.13475590661699027
61,66.22973135928036,0.15464401927793636,2,0,0.14277071389249976
62,65.11430876474466,0.23157521019311114,1,0,0.1202768913260329
63,45.33997827806676,0.5033370080236105,0,1,0.2634599787968328
64,56.443511380979665,0.2207808130641507,1,0,0.12591459442107564
65,34.98358351592675,0.279757065184014,0,1,0.12164230573395884
66,73.41881769001779,0.23673576967010848,1,0,0.11257602166900375
67,32.60541384174231,0.40550803444151223,1,0,0.3175993207727661
68,39.689934360342065,0.4174699071690776,0,0,0.20222855025060266
69,83.8184017750221,0.5808066728811063,0,0,0.24639195986393653
70,43.932230085266795,0.49061183933718283,0,0,0.2549754448022516
71,70.73785229299305,0.37087692377372106,1,0,0.19962416404354913
72,22.4437684690062,0.37365940849624835,0,1,0.20169081587645465
73,39.16808209471931,0.10082850275535032,1,0,0.09062395050984498
74,105.45493388008563,0.151805217207615,0,0,0.031165135404989292
75,94.50350057590555,0.62874918042494,0,1,0.26579831857080277
76,80.28518002399926,0.2219285566348445,0,0,0.05742341163874524
77,36.440550068953684,0.6111103397749785,0,0,0.4003620076952965
78,57.715943279970396,0.2881694552549715,1,0,0.16391559583138599
79,46.224129299733995,0.27185112350443974,0,0,0.10434952515909039
80,37.560158751391505,0.24435005464094628,1,0,0.16828349127281395
81,33.932935857314554,0.445939164383683,0,0,0.23745430288968236
82,71.35371349134412,0.30569587102929247,1,0,0.15330587659312572
83,33.98833037094947,0.4013297032280783,1,1,0.30970957977992575
84,51.14669183346877,0.25575394198424467,0,0,0.09227724814328728
85,80.12046562108642,0.11292853565400805,1,0,0.0606887462636992
86,96.73728845291332,0.11162986360320104,0,0,0.028608544103109437
87,45.38991205161835,0.2870696783552318,2,1,0.28766647726856776
88,35.73609729162206,0.4903002727555302,0,0,0.2738070960001366
89,34.724276592328785,0.17333171757042254,1,0,0.12957755565445245
90,47.235820467161616,0.24173506836595468,2,0,0.24112867520630618
91,21.62059414470702,0.33208128299426076,0,0,0.1728650011321705
92,31.981729397124226,0.3402820313928814,0,0,0.16105124737682516
93,36.97929682241927,0.527506940999806,0,0,0.3075244690014396
94,37.1493230467669,0.3237415291780851,1,0,0.2293769653537003
95,60.57381789047812,0.21763278352253526,0,0,0.07028965460328039
96,47.36229570300122,0.18873673449677053,0,0,0.07159710032201462
97,46.07625961783009,0.2889139998559046,0,0,0.11243286095783461
98,20.934080451693383,0.13551187632937406,1,0,0.12777773658338773
99,54.761438615527915,0.5287968862505724,4,0,0.7860179994989104
100,98.11242276805724,0.20772422390153406,2,0,0.12783114883304753
101,37.405747786877065,0.517767694992623,0,0,0.29659108180801724
102,15.0,0.4550544202750179,0,1,0.28992696537623974
103,22.53092327339725,0.17724273069835675,3,0,0.35902326455795064
104,45.36118989628661,0.4921733068661718,0,0,0.25314617287734054
105,48.14224622332891,0.49217143726516677,0,1,0.24688709019017296
106,37.15882918366988,0.11971491159374821,2,0,0.16641175859798654
107,37.45168772099874,0.07612738904177385,1,0,0.08286751693330811
108,76.16685638808677,0.3044745832935039,0,0,0.08686533850866267
109,108.95668398640436,0.49915397181692284,1,1,0.22591180347269915
110,51.58618382614946,0.3791956738466005,2,0,0.3684446774893719
111,56.42232183300624,0.48401466327636133,1,0,0.3376470440879079
112,45.039431245539696,0.23975129337148413,0,0,0.0919823616226327
113,60.166418078468006,0.22408399002197416,0,0,0.0726691225862259
114,32.558423983535015,0.2093192882626378,1,0,0.15368735076367016
115,28.089131835234756,0.09728196196463065,1,0,0.10064157868782125
116,60.96723627974539,0.11999690124829379,1,0,0.07758495790853968
117,43.603972525363,0.2702174653963838,0,1,0.10657591336648506
118,43.12352327765759,0.2720488996188396,1,1,0.17775275580088157
119,57.178817318499064,0.22460643857957704,0,0,0.07529681958588806
120,27.30797250435674,0.06766046945533616,1,0,0.08924200181776398
121,82.3542870326536,0.3654483396785057,1,1,0.1744949738419035
122,36.07181409098997,0.26520925487678104,0,0,0.11306013430647445
123,64.9693908784067,0.33178251627617167,1,0,0.18137244320890036
124,23.427617036970005,0.26048705486983625,0,0,0.12666277314374366
125,20.32564954978395,0.36454903942279093,0,0,0.19875841630760493
126,56.04590330350633,0.288454599258591,1,0,0.16687081510940951
127,73.05852744863947,0.48911194811432906,0,0,0.19326000380975183
128,92.72490487718004,0.4598265041719362,0,0,0.1411790353004274
129,47.35040458932114,0.3030146268094484,0,0,0.11776839752996265
130,51.95953957313322,0.25033603750105204,2,1,0.23832194533915402
131,58.409211378522535,0.17524161131789234,2,0,0.16801644657498874
132,46.347146751907935,0.1292051992259313,1,0,0.09483482002084499
133,42.71627274659822,0.07906111858294083,1,0,0.07921200867380308
134,97.69469624908788,0.1893109690458227,4,1,0.3007679333070377
135,82.68007766869158,0.13758460738844333,0,0,0.03798806532992755
136,59.82330171938656,0.5552519500502608,3,1,0.6872576865218823
137,62.178299580484456,0.4120877507842234,1,0,0.2519727631649097
138,44.31000441117113,0.44171540781370566,1,0,0.3248686987600796
139,27.88992946227446,0.45968772218006776,0,1,0.26343747241772675
140,70.08260439031359,0.13601120938789393,1,0,0.07528967997599592
141,24.458770792825575,0.17921228362314048,2,1,0.23626148602091246
142,64.0692544401215,0.3902761557504028,2,1,0.34626323141325904
143,32.48870843641285,0.17946856597070623,0,0,0.08103138776877886
144,61.99686323156574,0.5525996234414712,0,1,0.2706190267175633
145,46.39179956401735,0.28209733009223775,0,0,0.10884103401911153
146,50.14801407722828,0.08251140470607848,0,0,0.04287186767727085
147,80.56938085800437,0.6819963576959228,1,0,0.496687535123394
148,69.56739966877801,0.4745295589885676,0,1,0.18891634321028292
149,68.67150018942762,0.1970340141942277,0,0,0.058508419737574986
150,28.305796711088817,0.35025496920442284,1,1,0.27320029793676925
151,45.11217241824186,0.22854270039751845,0,1,0.08751662369719929
152,74.122034687203,0.5527729205540189,1,1,0.3644377239750782
153,53.58652455859554,0.15349440612075324,0,0,0.056986556723861215
154,24.90055502993612,0.4992142839800351,1,0,0.4445840671130553
155,70.0841338981766,0.4370754290063186,3,1,0.5242191448689743
156,45.43728039390757,0.503071328733222,0,0,0.2629862136544359
157,101.79823654602453,0.2782390108376185,0,0,0.05808368669848006
158,76.9844615056936,0.468550675687347,3,1,0.5412137048273878
159,98.3926971311528,0.23369558435570514,0,0,0.04931410558824131
