risk_decile,observations,defaults,mean_oracle_probability,observed_default_rate
1,90,5,0.04285990689903344,0.05555555555555555
2,90,8,0.06708621098972696,0.08888888888888889
3,90,12,0.08802671525850105,0.13333333333333333
4,90,7,0.11108575580999122,0.07777777777777778
5,90,10,0.13765080772384533,0.1111111111111111
6,90,14,0.17199074486595972,0.15555555555555556
7,90,27,0.21141123974895873,0.3
8,90,31,0.26253923091205256,0.34444444444444444
9,90,31,0.33926504643088967,0.34444444444444444
10,90,47,0.5022127793527869,0.5222222222222223
