hours_bin,mean_hours,completion_rate,observations,mean_squared_residual,lpm_prediction
"(-0.001, 2.0]",1.047863852817702,0.056338028169014086,71,0.06773204458084184,-0.04741207410899111
"(2.0, 4.0]",3.0957730108305883,0.03508771929824561,57,0.038232481702911304,0.07293142205149172
"(4.0, 6.0]",4.948244100287575,0.06896551724137931,58,0.07843601361498868,0.1817901800531343
"(6.0, 8.0]",6.92443317383834,0.13513513513513514,74,0.14447507256645342,0.2979191114828887
"(8.0, 10.0]",8.960426580359558,0.4090909090909091,66,0.24076804056433124,0.4175623894777971
"(10.0, 12.0]",10.936889101850907,0.5774647887323944,71,0.24350587004889726,0.5337073898240164
"(12.0, 14.0]",13.14335975568072,0.8115942028985508,69,0.1739075949038224,0.6633686062985976
"(14.0, 16.0]",14.908855963552076,0.8979591836734694,49,0.11296767533925987,0.7671163654616419
"(16.0, 18.0]",17.179367958356053,0.9464285714285714,56,0.05534824637947934,0.9005409123757014
"(18.0, 20.0]",18.939550241653556,1.0,65,0.0008585684552330023,1.003976403653694
"(20.0, 22.0]",21.03016524724826,1.0,64,0.016963603971541678,1.1268294696280445
