motivation_bin,mean_motivation,participation_rate,mean_treatment_effect
1,-1.6977136221965525,0.058333333333333334,1.6232009289248266
2,-0.9751373806374367,0.14166666666666666,2.6348076671075886
3,-0.6190295954345293,0.18333333333333332,3.1333585663916588
4,-0.3165373284156301,0.225,3.556847740218118
5,-0.08707757344730598,0.31666666666666665,3.8780913971737716
6,0.15541813513667133,0.4666666666666667,4.21758538919134
7,0.41464706210788665,0.49166666666666664,4.580505886951041
8,0.6869821582055277,0.5666666666666667,4.961775021487739
9,1.0821388732155528,0.6833333333333333,5.514994422501774
10,1.71322603218397,0.8333333333333334,6.398516445057558
