repetition,difference_in_means,running_mean
1,4.407986066133205,4.407986066133205
2,4.7113295157328565,4.559657790933031
3,5.707677250010903,4.942330943958988
4,5.456750238907219,5.070935767696046
5,5.865985342431102,5.2299456826430575
6,4.904218062442553,5.175657745942973
7,3.8595168838536864,4.987637622787361
8,6.2086765441687675,5.1402674879600365
9,5.365313914037017,5.165272646413034
10,4.825877477896668,5.131333129561398
11,5.398281434800765,5.155601157310431
12,6.307111437355559,5.251560347314192
13,4.439329990285373,5.189081089081205
14,5.349764202396173,5.2005584543179895
15,4.583497473427542,5.1594210555919595
16,5.469494148708307,5.178800623911731
17,4.460336036347485,5.136538001113834
18,4.645670651914273,5.10926759282497
19,4.283502890576642,5.065806292706637
20,6.032810198332456,5.114156487987928
21,5.847118489493852,5.149059440440591
22,4.615383343240396,5.1248014360224
23,4.509733147977272,5.098059336542177
24,3.4373841829282696,5.028864538474931
25,4.2070146078917645,4.995990541251604
26,5.168103741002454,5.0026102797035605
27,6.117738777851585,5.043911335190524
28,6.2105892307048265,5.085578402887464
29,3.8322327147787405,5.042359586056128
30,4.613707453745448,5.028071181645772
31,3.5511647488352764,4.980429038651885
32,5.5748930237797225,4.9990060381871295
33,4.192101736566855,4.974554392683486
34,4.532769327303441,4.961560714289954
35,4.283241748438044,4.942180172408471
36,5.132769400876782,4.947474317643702
37,6.237691252043007,4.98234504560044
38,5.3765554223496395,4.992719002883313
39,6.189242603206125,5.0233990951992835
40,4.993395219447066,5.022648998305478
41,5.623015322186262,5.037292079375741
42,4.930005182468506,5.034737629449379
43,4.294871490569506,5.017531440173102
44,4.05620124327713,4.995683026607285
45,5.732681863258108,5.012060778532859
46,4.9412347500382054,5.010521082261236
47,5.8820576941837,5.029064414429798
48,5.567326669813539,5.04027821141696
49,3.983537703244906,5.018712078597122
50,5.122702388550138,5.020791884796182
51,5.879580021261674,5.0376308678641335
52,5.0900368758081385,5.03863867570921
53,5.443773683901242,5.04628273246755
54,5.88787529722272,5.061867779963016
55,5.238114752878715,5.065072270379666
56,4.73215580910751,5.059127333571234
57,6.05370242175654,5.076576019328871
58,5.66922589035218,5.08679412055341
59,5.85896053395696,5.099881686882284
60,6.147855522191946,5.117347917470779
61,3.668307132105454,5.093593150497576
62,4.030863070911963,5.076452342762326
63,5.180174753862005,5.0780987302400975
64,5.411161358245124,5.0833028338026764
65,5.30535154906994,5.086718967883711
66,3.8784267396987246,5.068411509880908
67,6.527842731451841,5.0901940654267435
68,4.423486868642897,5.0803895478269805
69,6.278704971399648,5.097756438023686
70,4.691034205627645,5.0919461204180285
71,5.787183134821859,5.1017381910434345
72,5.402606701186116,5.105916920350972
73,5.156577141949384,5.106610895989306
74,4.826340272548791,5.102823455132002
75,5.73600195337545,5.111265835108581
76,5.717230959339744,5.119239060427412
77,5.621777627336044,5.12576553532233
78,6.134857168377607,5.138702607540988
79,3.611953545860132,5.119376670051356
80,5.508957149303512,5.124246426042008
81,6.539183259760257,5.141714782013838
82,4.033004355603197,5.128193923155172
83,5.188636393823259,5.128922145693341
84,5.546959575611609,5.133898781763797
85,5.2928418465384794,5.135768700172911
86,5.417427280669386,5.139043799946125
87,4.111246863732305,5.127230042058611
88,4.254626438864605,5.1173140920223155
89,5.3022396454913405,5.119391907229832
90,4.394822234133585,5.111341133084318
91,2.3947308754745364,5.081488273110584
92,6.214608363940378,5.093804795836995
93,5.0952114169244,5.093819920794925
94,3.0601055384176306,5.072184661407932
