severity_bin,mean_severity,participation_rate,mean_treatment_effect
1,-1.7455992742996094,0.069375,1.2813363745270694
2,-1.0449775591970363,0.116875,2.3816094963778345
3,-0.675764183130595,0.134375,2.984015438458331
4,-0.38337191011075633,0.1525,3.4616734908907842
5,-0.12724012349499536,0.22,3.8418584549243473
6,0.12215910350203506,0.228125,4.277196939854155
7,0.38544788168747857,0.2875,4.660502361949933
8,0.6797288969082445,0.315,5.152895012040378
9,1.0448462823877447,0.381875,5.733569043407548
10,1.7440735916367904,0.535625,6.869872401305422
