hospital_id,period,nurses_per_100_beds,patient_score,oracle_hospital_intercept,urban
1,2,16.54233886425952,80.06642487537943,61.04822583233745,0
1,3,13.968242122341174,78.84327093825014,61.04822583233745,0
1,4,13.460217236929548,75.45236406174708,61.04822583233745,0
1,5,16.77438408190561,85.29957522503136,61.04822583233745,0
1,8,14.594597301602471,80.15074116268492,61.04822583233745,0
1,9,13.26044280758502,71.4231745695673,61.04822583233745,0
1,10,15.298061137707265,72.70141170111027,61.04822583233745,0
2,2,15.319553081739851,87.17056590496409,70.05013874091989,1
2,4,19.597980805486895,93.8348615777111,70.05013874091989,1
2,5,14.749879655634786,90.40290734617085,70.05013874091989,1
2,6,17.422958893654695,96.92879219245532,70.05013874091989,1
2,7,19.766384141328693,99.43844741341036,70.05013874091989,1
2,8,18.821361568574382,93.24981374235047,70.05013874091989,1
2,9,19.784010859815627,95.32703449629719,70.05013874091989,1
2,12,14.833989587766466,88.85086217861014,70.05013874091989,1
3,3,20.205556045843444,99.6147581225703,72.23425657829014,1
3,5,16.140059083594927,89.61923987026412,72.23425657829014,1
3,8,17.927914629129667,93.93461779543398,72.23425657829014,1
3,10,19.618833416637727,87.87194414372438,72.23425657829014,1
4,2,17.54911144537178,96.66294899514322,73.23039851916619,1
4,3,18.13508215800712,93.20641308331773,73.23039851916619,1
4,4,18.869596640005962,97.5060924468095,73.23039851916619,1
4,7,18.116207848307234,98.41945417623413,73.23039851916619,1
4,9,19.95983731168549,95.32085421558166,73.23039851916619,1
4,12,19.411046222322746,93.38807331635203,73.23039851916619,1
5,1,22.545049009964067,99.80317699077953,72.46789609157952,0
5,3,18.909319173406328,94.18865071312766,72.46789609157952,0
5,4,18.810758828967632,95.3493209261791,72.46789609157952,0
5,6,19.184303288193316,103.04891222655374,72.46789609157952,0
6,2,15.78750834275415,78.0857105626319,64.26427323059924,0
6,5,16.328098555284384,85.94505048822674,64.26427323059924,0
6,6,17.173378712253488,93.36848204563672,64.26427323059924,0
6,10,18.044850217768136,82.94671372698903,64.26427323059924,0
6,12,13.072993811461508,77.39837245960416,64.26427323059924,0
7,2,23.671724207312838,106.58569514175137,77.95991600854644,1
7,6,22.58655999066819,108.24682560474756,77.95991600854644,1
7,8,24.417956421683595,109.29691589897155,77.95991600854644,1
7,9,24.090889627015464,109.69062077487631,77.95991600854644,1
8,1,17.47214460742301,80.5403579904082,66.709071121803,0
8,2,16.736600759119042,91.75682000002236,66.709071121803,0
8,3,12.068765164668557,81.17237045723658,66.709071121803,0
8,7,15.922621704775503,90.81144163472825,66.709071121803,0
8,8,21.179349874268738,90.05297348332547,66.709071121803,0
8,9,16.905705377560015,87.34116900150252,66.709071121803,0
8,10,16.24169870387845,85.9718828910283,66.709071121803,0
8,11,19.61805777020598,91.25282371617995,66.709071121803,0
8,12,16.996317830107785,86.63012021272148,66.709071121803,0
9,1,14.488059185189114,84.97026206715695,70.56254964615567,1
9,3,16.88523944377778,91.59126100851395,70.56254964615567,1
9,4,15.00816122604635,85.92566728993985,70.56254964615567,1
9,7,13.245643924341582,88.7988837338669,70.56254964615567,1
9,8,20.270510045063332,96.58443475215583,70.56254964615567,1
9,9,15.192223448052143,88.51813603774426,70.56254964615567,1
9,10,17.769506220437165,101.7696117697546,70.56254964615567,1
10,2,18.397086468567167,90.98186181693926,70.09830774069435,0
10,4,19.032028888825952,93.51592206647912,70.09830774069435,0
10,7,16.452794901372815,86.16013272129031,70.09830774069435,0
10,10,18.4243988091094,99.80012757423393,70.09830774069435,0
11,3,17.622881245593796,89.58887148143344,65.47832912034552,0
11,9,15.288354946489543,92.10214699452888,65.47832912034552,0
11,10,17.560290308770366,83.66707776171643,65.47832912034552,0
11,11,12.770281546498557,78.10112878271075,65.47832912034552,0
11,12,16.9776632068054,87.8146097077588,65.47832912034552,0
12,4,17.429521539825632,86.5363439626659,67.20959071918402,0
