city_id,year,treated,post,no2_ug_m3
1,2017,0,0,35.67069143043585
1,2018,0,0,34.90275081222121
1,2019,0,0,32.754930189153995
1,2020,0,0,32.73113488301105
1,2021,0,1,30.21768916140637
1,2022,0,1,32.28289462344204
1,2023,0,1,28.33608689859576
2,2017,0,0,37.9434821732564
2,2018,0,0,40.233702021190666
2,2019,0,0,36.94968460618387
2,2020,0,0,37.955015012285486
2,2021,0,1,32.76314372889141
2,2022,0,1,34.09054045272263
2,2023,0,1,37.352226499879414
3,2017,0,0,42.462015791033124
3,2018,0,0,41.10980846849711
3,2019,0,0,37.250196953150116
3,2020,0,0,38.189602078017266
3,2021,0,1,36.701476047103135
3,2022,0,1,34.97124380700955
3,2023,0,1,33.865012691017725
4,2017,0,0,41.81621396966627
4,2018,0,0,38.14968538014347
4,2019,0,0,39.08440767294828
4,2020,0,0,39.97974170418203
4,2021,0,1,40.13361216598789
4,2022,0,1,36.20677593027681
4,2023,0,1,34.550261641099034
5,2017,0,0,38.56937147342876
5,2018,0,0,39.10022530150793
5,2019,0,0,35.27420042198147
5,2020,0,0,35.94027438324134
5,2021,0,1,35.921048092433615
5,2022,0,1,35.0393974449846
5,2023,0,1,36.29506625644735
6,2017,0,0,35.873182127800284
6,2018,0,0,35.06306764278188
6,2019,0,0,31.207390174508628
6,2020,0,0,34.15382136179976
6,2021,0,1,35.88633224546281
6,2022,0,1,31.12917378337547
6,2023,0,1,26.53598512244753
7,2017,0,0,39.475339743128885
7,2018,0,0,41.57441237520413
7,2019,0,0,41.11242517575017
7,2020,0,0,39.176590433828764
7,2021,0,1,38.60799190949284
7,2022,0,1,40.54749045991693
7,2023,0,1,41.27958644428392
8,2017,0,0,37.38839478944967
8,2018,0,0,37.04683869368311
8,2019,0,0,35.44553268809324
8,2020,0,0,35.70383669388565
8,2021,0,1,32.64752381017482
8,2022,0,1,31.156910200525807
8,2023,0,1,33.55672570297919
9,2017,0,0,38.565641992515
9,2018,0,0,37.82132348354221
9,2019,0,0,38.24978296862204
9,2020,0,0,34.393763726565666
9,2021,0,1,38.20917101164086
9,2022,0,1,34.00709610492501
9,2023,0,1,35.660713953508754
10,2017,0,0,35.85787500805659
10,2018,0,0,34.58974729357628
10,2019,0,0,37.946897068453154
