region_id,month,treated,post,did,visits_per_1000,oracle_time_shock
1,1,0,0,0,49.78292304903365,0.0
1,2,0,0,0,49.777064387423934,4.0
1,3,0,0,0,48.64879222566566,-2.0
1,4,0,0,0,51.670550004447385,5.0
1,5,0,0,0,49.810326436385566,1.0
1,6,0,0,0,47.39751777251875,-3.0
1,7,0,1,0,58.08698831482021,6.0
1,8,0,1,0,49.11635524636308,2.0
1,9,0,1,0,47.768233268287325,-1.0
1,10,0,1,0,55.557740555628726,4.0
1,11,0,1,0,51.61922098597955,0.0
1,12,0,1,0,45.922762241821964,-4.0
2,1,0,0,0,48.94588686432186,0.0
2,2,0,0,0,53.20884300954581,4.0
2,3,0,0,0,48.91713644322538,-2.0
2,4,0,0,0,54.39787801310251,5.0
2,5,0,0,0,45.67702347455767,1.0
2,6,0,0,0,47.22777719282518,-3.0
2,7,0,1,0,53.94046228855125,6.0
2,8,0,1,0,49.75665369541848,2.0
2,9,0,1,0,48.673330048927525,-1.0
2,10,0,1,0,54.683555736567875,4.0
2,11,0,1,0,46.99856123242856,0.0
2,12,0,1,0,44.52506375458828,-4.0
3,1,0,0,0,46.46141430225088,0.0
3,2,0,0,0,48.829710101849194,4.0
3,3,0,0,0,44.05918832437662,-2.0
3,4,0,0,0,49.26293866731053,5.0
3,5,0,0,0,48.0076368609028,1.0
3,6,0,0,0,42.04233015128752,-3.0
3,7,0,1,0,52.42948521691894,6.0
3,8,0,1,0,46.0899171180678,2.0
3,9,0,1,0,42.97766925212357,-1.0
3,10,0,1,0,50.55935724043712,4.0
3,11,0,1,0,47.72668205110487,0.0
3,12,0,1,0,42.55208420687541,-4.0
4,1,0,0,0,52.75209261406197,0.0
4,2,0,0,0,56.575635637766645,4.0
4,3,0,0,0,47.64516166519777,-2.0
4,4,0,0,0,54.71941028454766,5.0
4,5,0,0,0,51.72156059238889,1.0
4,6,0,0,0,50.19884974062046,-3.0
4,7,0,1,0,55.94444324078306,6.0
4,8,0,1,0,54.01243193420031,2.0
4,9,0,1,0,50.95179298095872,-1.0
4,10,0,1,0,56.604615121767296,4.0
4,11,0,1,0,52.83863303932633,0.0
4,12,0,1,0,47.05879034671578,-4.0
5,1,0,0,0,50.109579412258746,0.0
5,2,0,0,0,55.21971519286857,4.0
5,3,0,0,0,49.05915185642458,-2.0
5,4,0,0,0,56.76945209328652,5.0
5,5,0,0,0,52.184041768156746,1.0
5,6,0,0,0,50.241321095590195,-3.0
5,7,0,1,0,59.682588741399584,6.0
5,8,0,1,0,53.069777293125476,2.0
5,9,0,1,0,51.10630324752837,-1.0
5,10,0,1,0,57.59007994234135,4.0
5,11,0,1,0,48.789161821729124,0.0
5,12,0,1,0,42.85444508697815,-4.0
6,1,0,0,0,50.64388833008333,0.0
6,2,0,0,0,56.23520445465899,4.0
6,3,0,0,0,49.42377126206169,-2.0
6,4,0,0,0,54.51498617166472,5.0
6,5,0,0,0,49.44963081229142,1.0
6,6,0,0,0,47.842724932843694,-3.0
6,7,0,1,0,56.064857976850156,6.0
6,8,0,1,0,54.58280113324819,2.0
6,9,0,1,0,48.68721291699614,-1.0
6,10,0,1,0,52.97306912180229,4.0
6,11,0,1,0,48.962905587957486,0.0
6,12,0,1,0,44.78369736906275,-4.0
7,1,0,0,0,52.60562240794559,0.0
7,2,0,0,0,56.629871971276685,4.0
7,3,0,0,0,50.548709731695524,-2.0
7,4,0,0,0,57.38816027404103,5.0
7,5,0,0,0,52.85437319122876,1.0
7,6,0,0,0,48.346947172800135,-3.0
7,7,0,1,0,59.827268413037594,6.0
7,8,0,1,0,55.05740820461087,2.0
7,9,0,1,0,51.083217204338126,-1.0
7,10,0,1,0,56.31088547604124,4.0
7,11,0,1,0,53.50080085018337,0.0
7,12,0,1,0,49.822351588377344,-4.0
8,1,0,0,0,46.57753489920918,0.0
8,2,0,0,0,51.20968846930871,4.0
8,3,0,0,0,44.380076495856585,-2.0
8,4,0,0,0,50.52562242338022,5.0
8,5,0,0,0,47.919295285715194,1.0
8,6,0,0,0,44.20239182164609,-3.0
8,7,0,1,0,53.14883483264746,6.0
8,8,0,1,0,47.1027883613405,2.0
8,9,0,1,0,47.684459519467595,-1.0
8,10,0,1,0,51.28630138340934,4.0
8,11,0,1,0,48.670451402459314,0.0
8,12,0,1,0,44.68244370644615,-4.0
9,1,0,0,0,49.25468475869105,0.0
9,2,0,0,0,51.49000516021481,4.0
9,3,0,0,0,46.452926999320475,-2.0
9,4,0,0,0,54.09990041268395,5.0
9,5,0,0,0,51.02298833039467,1.0
9,6,0,0,0,45.45173077728269,-3.0
9,7,0,1,0,54.46315701795368,6.0
9,8,0,1,0,50.77709933778514,2.0
9,9,0,1,0,46.89503970372025,-1.0
9,10,0,1,0,52.91107730276249,4.0
9,11,0,1,0,47.789868655160426,0.0
9,12,0,1,0,42.51255317211279,-4.0
10,1,0,0,0,42.69600547676282,0.0
10,2,0,0,0,50.18496146237655,4.0
10,3,0,0,0,44.55074527082445,-2.0
10,4,0,0,0,50.927238012281606,5.0
10,5,0,0,0,47.835803708570886,1.0
10,6,0,0,0,43.441299359247324,-3.0
10,7,0,1,0,50.719575880060894,6.0
10,8,0,1,0,47.71273542723341,2.0
10,9,0,1,0,47.65159953614057,-1.0
10,10,0,1,0,52.385903222452065,4.0
10,11,0,1,0,48.084519747886745,0.0
10,12,0,1,0,44.091759718043406,-4.0
11,1,0,0,0,51.73881105152584,0.0
11,2,0,0,0,57.23984392583517,4.0
11,3,0,0,0,51.06961724451171,-2.0
11,4,0,0,0,58.66567464208126,5.0
11,5,0,0,0,52.83114071021965,1.0
11,6,0,0,0,49.58876789909155,-3.0
11,7,0,1,0,58.20972149289235,6.0
11,8,0,1,0,55.060966741854735,2.0
11,9,0,1,0,51.42381314394191,-1.0
11,10,0,1,0,56.35697128512534,4.0
11,11,0,1,0,54.70162927270156,0.0
11,12,0,1,0,47.768681703451286,-4.0
12,1,0,0,0,49.952765145166175,0.0
12,2,0,0,0,52.83042251447306,4.0
12,3,0,0,0,46.86875550109148,-2.0
12,4,0,0,0,55.731143434572886,5.0
12,5,0,0,0,50.49289785279259,1.0
12,6,0,0,0,46.39151073669811,-3.0
12,7,0,1,0,54.70329417211582,6.0
12,8,0,1,0,53.377911147597146,2.0
12,9,0,1,0,49.09316657759097,-1.0
12,10,0,1,0,52.924973596566716,4.0
12,11,0,1,0,50.46451577016576,0.0
12,12,0,1,0,46.602564218973235,-4.0
13,1,0,0,0,51.9121761671833,0.0
13,2,0,0,0,54.75974425297296,4.0
13,3,0,0,0,46.63998863022214,-2.0
13,4,0,0,0,53.37520010190265,5.0
13,5,0,0,0,50.61574403060175,1.0
13,6,0,0,0,44.49424016201738,-3.0
13,7,0,1,0,57.46039670503037,6.0
13,8,0,1,0,49.87981002614003,2.0
13,9,0,1,0,48.39191421022992,-1.0
13,10,0,1,0,50.85971499366457,4.0
13,11,0,1,0,49.31427002130911,0.0
13,12,0,1,0,41.470049452922765,-4.0
14,1,0,0,0,49.77299801481551,0.0
14,2,0,0,0,56.62790526898907,4.0
14,3,0,0,0,48.139396452088235,-2.0
14,4,0,0,0,52.157901090826876,5.0
14,5,0,0,0,47.53910495315851,1.0
14,6,0,0,0,46.244409321073356,-3.0
14,7,0,1,0,54.21153492926308,6.0
14,8,0,1,0,49.40103398929158,2.0
14,9,0,1,0,48.5632685900634,-1.0
14,10,0,1,0,52.957396013008974,4.0
14,11,0,1,0,48.63751154683963,0.0
14,12,0,1,0,43.4284537634154,-4.0
15,1,0,0,0,50.6089810111723,0.0
15,2,0,0,0,54.556792709946045,4.0
15,3,0,0,0,50.20754573438963,-2.0
15,4,0,0,0,55.22676746411949,5.0
15,5,0,0,0,52.0935879426862,1.0
15,6,0,0,0,50.27120874300317,-3.0
15,7,0,1,0,58.65295268797075,6.0
15,8,0,1,0,52.491281939801084,2.0
15,9,0,1,0,48.60839786846388,-1.0
15,10,0,1,0,53.75047088350919,4.0
15,11,0,1,0,52.42144574577301,0.0
15,12,0,1,0,46.95754291210563,-4.0
16,1,0,0,0,45.97681802920714,0.0
16,2,0,0,0,50.88020160155132,4.0
16,3,0,0,0,43.74057848104489,-2.0
16,4,0,0,0,54.34413720628097,5.0
16,5,0,0,0,49.94260328066087,1.0
16,6,0,0,0,46.04490999797701,-3.0
16,7,0,1,0,56.00011388024906,6.0
16,8,0,1,0,49.58950340087801,2.0
16,9,0,1,0,47.12830301086701,-1.0
16,10,0,1,0,51.50242217201812,4.0
16,11,0,1,0,47.317975791148676,0.0
16,12,0,1,0,42.33061307709447,-4.0
17,1,0,0,0,53.91324295523317,0.0
17,2,0,0,0,58.41038159252736,4.0
17,3,0,0,0,52.1279900004437,-2.0
17,4,0,0,0,60.53951558665764,5.0
17,5,0,0,0,55.962710447055215,1.0
17,6,0,0,0,47.9900415520492,-3.0
17,7,0,1,0,57.28773650787324,6.0
17,8,0,1,0,54.68556626292829,2.0
17,9,0,1,0,54.15903526750667,-1.0
17,10,0,1,0,57.261696846441815,4.0
17,11,0,1,0,54.29911542932688,0.0
17,12,0,1,0,47.99414188220256,-4.0
18,1,0,0,0,49.88420868363365,0.0
18,2,0,0,0,53.86626187726806,4.0
18,3,0,0,0,49.05381325174029,-2.0
18,4,0,0,0,54.246360595111895,5.0
18,5,0,0,0,50.50054964134122,1.0
18,6,0,0,0,44.02129693663808,-3.0
18,7,0,1,0,57.44658524768757,6.0
18,8,0,1,0,50.99344070612564,2.0
18,9,0,1,0,48.146227577815544,-1.0
18,10,0,1,0,49.1983836284503,4.0
18,11,0,1,0,47.16982795309952,0.0
18,12,0,1,0,44.68621468837675,-4.0
19,1,0,0,0,51.869495860408975,0.0
19,2,0,0,0,57.45932513267522,4.0
19,3,0,0,0,46.66060746853463,-2.0
19,4,0,0,0,58.69685242076644,5.0
19,5,0,0,0,54.23916919336282,1.0
19,6,0,0,0,43.5240898645347,-3.0
19,7,0,1,0,58.01436801874782,6.0
19,8,0,1,0,54.90500639289424,2.0
19,9,0,1,0,51.8921593655449,-1.0
19,10,0,1,0,55.074427927340786,4.0
19,11,0,1,0,52.821886771674535,0.0
19,12,0,1,0,47.06357164405579,-4.0
20,1,0,0,0,47.76944188275605,0.0
20,2,0,0,0,53.35663399067578,4.0
20,3,0,0,0,45.287255074136674,-2.0
20,4,0,0,0,49.02868295340774,5.0
20,5,0,0,0,47.369136084433066,1.0
20,6,0,0,0,45.76686714679678,-3.0
20,7,0,1,0,52.84732442601147,6.0
20,8,0,1,0,49.59303859599762,2.0
20,9,0,1,0,45.521457989420526,-1.0
20,10,0,1,0,50.78299385297478,4.0
20,11,0,1,0,45.03672474069126,0.0
20,12,0,1,0,42.188681291368695,-4.0
21,1,0,0,0,53.99668899667052,0.0
21,2,0,0,0,56.35210799102611,4.0
21,3,0,0,0,49.8385668919786,-2.0
21,4,0,0,0,55.71051729267739,5.0
21,5,0,0,0,55.47169499103604,1.0
21,6,0,0,0,49.714015942871434,-3.0
21,7,0,1,0,60.28841181856286,6.0
21,8,0,1,0,56.30522867091753,2.0
21,9,0,1,0,52.16774191214143,-1.0
21,10,0,1,0,55.576802072425345,4.0
21,11,0,1,0,52.47313524708985,0.0
21,12,0,1,0,49.60301394050955,-4.0
22,1,0,0,0,48.03097780462617,0.0
22,2,0,0,0,54.550101832986904,4.0
22,3,0,0,0,51.20616634597617,-2.0
22,4,0,0,0,55.05021859558388,5.0
22,5,0,0,0,54.42314493938342,1.0
22,6,0,0,0,48.40841376816977,-3.0
22,7,0,1,0,57.85288953427487,6.0
22,8,0,1,0,50.879555710959366,2.0
22,9,0,1,0,49.98009629673748,-1.0
22,10,0,1,0,52.8392115628282,4.0
22,11,0,1,0,52.734611622100566,0.0
22,12,0,1,0,47.27085954510721,-4.0
23,1,0,0,0,54.603265035257124,0.0
23,2,0,0,0,55.79417980928707,4.0
23,3,0,0,0,48.79848020451806,-2.0
23,4,0,0,0,56.07942118645592,5.0
23,5,0,0,0,53.570798576012784,1.0
23,6,0,0,0,51.28447659469122,-3.0
23,7,0,1,0,57.88366883112612,6.0
23,8,0,1,0,52.790454591646245,2.0
23,9,0,1,0,53.32214078947699,-1.0
23,10,0,1,0,53.26165365410213,4.0
23,11,0,1,0,51.37184169496037,0.0
23,12,0,1,0,46.47262164703018,-4.0
24,1,0,0,0,52.48001015991286,0.0
24,2,0,0,0,55.50360422698712,4.0
24,3,0,0,0,48.975564069001244,-2.0
24,4,0,0,0,56.92290791598971,5.0
24,5,0,0,0,52.313290223202806,1.0
24,6,0,0,0,48.55747170401318,-3.0
24,7,0,1,0,56.04089637043199,6.0
24,8,0,1,0,51.14195950299698,2.0
24,9,0,1,0,51.60714939864202,-1.0
24,10,0,1,0,55.02124963765189,4.0
24,11,0,1,0,52.021609335308966,0.0
24,12,0,1,0,47.125698286707596,-4.0
25,1,0,0,0,48.42783545970563,0.0
25,2,0,0,0,56.86681272691094,4.0
25,3,0,0,0,48.96410165953162,-2.0
25,4,0,0,0,54.38948391627429,5.0
25,5,0,0,0,51.056141705558225,1.0
25,6,0,0,0,50.20684625112957,-3.0
25,7,0,1,0,54.16586571630576,6.0
25,8,0,1,0,52.74960815555211,2.0
25,9,0,1,0,50.92024411437983,-1.0
25,10,0,1,0,57.01608369077418,4.0
25,11,0,1,0,50.58430011696719,0.0
25,12,0,1,0,44.74601170907008,-4.0
26,1,0,0,0,49.991832115072825,0.0
26,2,0,0,0,56.54284644437831,4.0
26,3,0,0,0,48.727070951062224,-2.0
26,4,0,0,0,55.73203685402752,5.0
26,5,0,0,0,51.6183640769153,1.0
26,6,0,0,0,47.41663095520441,-3.0
26,7,0,1,0,57.499762222413345,6.0
26,8,0,1,0,53.02066299385876,2.0
26,9,0,1,0,49.377015344623665,-1.0
26,10,0,1,0,53.897997134167944,4.0
26,11,0,1,0,49.126039776750865,0.0
26,12,0,1,0,48.4624892116681,-4.0
27,1,0,0,0,51.001605279238966,0.0
27,2,0,0,0,56.102156434113155,4.0
27,3,0,0,0,49.2242757831577,-2.0
27,4,0,0,0,55.71012757689216,5.0
27,5,0,0,0,52.0510482539623,1.0
27,6,0,0,0,46.16253662949151,-3.0
27,7,0,1,0,55.81648262784168,6.0
27,8,0,1,0,52.46979086841126,2.0
27,9,0,1,0,46.55139324374666,-1.0
27,10,0,1,0,56.13818023363612,4.0
27,11,0,1,0,53.981031570038105,0.0
27,12,0,1,0,43.1390009237673,-4.0
28,1,0,0,0,48.44196391387271,0.0
28,2,0,0,0,53.997803620944445,4.0
