city_id,year,post,funding_eur_per_resident,investment_index,oracle_capacity,oracle_treatment_effect,dose_10,dose_10_post,dose_10_sq_post,intensity_group,low_post,medium_post,high_post
1,2019,0,0.0,41.764539219044636,-1.118319239180784,0.0,0.0,0.0,0.0,control,0,0,0
1,2020,0,0.0,44.11466198802913,-1.118319239180784,0.0,0.0,0.0,0.0,control,0,0,0
1,2021,0,0.0,41.28182576676587,-1.118319239180784,0.0,0.0,0.0,0.0,control,0,0,0
1,2022,1,0.0,44.966356744223,-1.118319239180784,0.0,0.0,0.0,0.0,control,0,0,0
1,2023,1,0.0,41.21726080721128,-1.118319239180784,0.0,0.0,0.0,0.0,control,0,0,0
1,2024,1,0.0,45.153826327689785,-1.118319239180784,0.0,0.0,0.0,0.0,control,0,0,0
2,2019,0,66.47093626315238,47.98342736676043,-0.15604243569946769,0.0,6.647093626315238,0.0,0.0,medium,0,0,0
2,2020,0,66.47093626315238,49.279970895941844,-0.15604243569946769,0.0,6.647093626315238,0.0,0.0,medium,0,0,0
2,2021,0,66.47093626315238,44.64659601234137,-0.15604243569946769,0.0,6.647093626315238,0.0,0.0,medium,0,0,0
2,2022,1,66.47093626315238,55.26811787795553,-0.15604243569946769,5.952149899770147,6.647093626315238,6.647093626315238,44.183853677000656,medium,0,1,0
2,2023,1,66.47093626315238,56.30710967299898,-0.15604243569946769,5.952149899770147,6.647093626315238,6.647093626315238,44.183853677000656,medium,0,1,0
2,2024,1,66.47093626315238,53.95539681827831,-0.15604243569946769,5.952149899770147,6.647093626315238,6.647093626315238,44.183853677000656,medium,0,1,0
3,2019,0,0.0,38.46377279629716,-2.098492126925619,0.0,0.0,0.0,0.0,control,0,0,0
3,2020,0,0.0,38.539286652520225,-2.098492126925619,0.0,0.0,0.0,0.0,control,0,0,0
3,2021,0,0.0,36.593042933924906,-2.098492126925619,0.0,0.0,0.0,0.0,control,0,0,0
3,2022,1,0.0,40.35381979769386,-2.098492126925619,0.0,0.0,0.0,0.0,control,0,0,0
3,2023,1,0.0,36.607472673033804,-2.098492126925619,0.0,0.0,0.0,0.0,control,0,0,0
3,2024,1,0.0,38.43071570396897,-2.098492126925619,0.0,0.0,0.0,0.0,control,0,0,0
4,2019,0,0.0,43.239914311671384,-1.4064960236078579,0.0,0.0,0.0,0.0,control,0,0,0
4,2020,0,0.0,44.0172285335276,-1.4064960236078579,0.0,0.0,0.0,0.0,control,0,0,0
4,2021,0,0.0,41.441788201650105,-1.4064960236078579,0.0,0.0,0.0,0.0,control,0,0,0
4,2022,1,0.0,43.65819769943929,-1.4064960236078579,0.0,0.0,0.0,0.0,control,0,0,0
4,2023,1,0.0,43.31261031915607,-1.4064960236078579,0.0,0.0,0.0,0.0,control,0,0,0
4,2024,1,0.0,45.08609723040449,-1.4064960236078579,0.0,0.0,0.0,0.0,control,0,0,0
5,2019,0,59.25728642449077,49.803441309077364,0.47649385582605086,0.0,5.925728642449077,0.0,0.0,medium,0,0,0
5,2020,0,59.25728642449077,50.82894016786935,0.47649385582605086,0.0,5.925728642449077,0.0,0.0,medium,0,0,0
5,2021,0,59.25728642449077,50.185696798110115,0.47649385582605086,0.0,5.925728642449077,0.0,0.0,medium,0,0,0
5,2022,1,59.25728642449077,55.96332435277408,0.47649385582605086,5.7123165579852735,5.925728642449077,5.925728642449077,35.114259943941384,medium,0,1,0
5,2023,1,59.25728642449077,55.4449267810915,0.47649385582605086,5.7123165579852735,5.925728642449077,5.925728642449077,35.114259943941384,medium,0,1,0
5,2024,1,59.25728642449077,58.65509130331377,0.47649385582605086,5.7123165579852735,5.925728642449077,5.925728642449077,35.114259943941384,medium,0,1,0
6,2019,0,51.01142208204059,48.507130640519435,-0.21247122177435918,0.0,5.101142208204059,0.0,0.0,medium,0,0,0
6,2020,0,51.01142208204059,51.049881964362676,-0.21247122177435918,0.0,5.101142208204059,0.0,0.0,medium,0,0,0
6,2021,0,51.01142208204059,49.56881099280121,-0.21247122177435918,0.0,5.101142208204059,0.0,0.0,medium,0,0,0
6,2022,1,51.01142208204059,54.92978535324007,-0.21247122177435918,5.370226665253701,5.101142208204059,5.101142208204059,26.02165182832098,medium,0,1,0
6,2023,1,51.01142208204059,53.30899948117383,-0.21247122177435918,5.370226665253701,5.101142208204059,5.101142208204059,26.02165182832098,medium,0,1,0
6,2024,1,51.01142208204059,56.34930537978961,-0.21247122177435918,5.370226665253701,5.101142208204059,5.101142208204059,26.02165182832098,medium,0,1,0
7,2019,0,86.72442005602626,51.11688144764991,0.7658065853204474,0.0,8.672442005602626,0.0,0.0,high,0,0,0
7,2020,0,86.72442005602626,52.46126152226006,0.7658065853204474,0.0,8.672442005602626,0.0,0.0,high,0,0,0
7,2021,0,86.72442005602626,49.7166140371937,0.7658065853204474,0.0,8.672442005602626,0.0,0.0,high,0,0,0
