repetition,first_stage,reduced_form,iv_ratio
0,1.5770855174671876,2.3954624373194946,1.51891727543515
1,1.642753454894322,2.847233450226433,1.7332080122817914
2,1.7321221199666479,3.075101726291919,1.7753377148437608
3,1.6600345213464325,2.9365347278226466,1.7689600367110807
4,1.4597624465942565,2.366447666385234,1.6211183346347533
5,1.7063202833141258,2.890334119863887,1.6938989403853846
6,1.8453944162913483,3.4329983355796685,1.860306016574438
7,1.775859511124263,3.0844837598559423,1.7368962694032108
8,1.6805714802525826,3.1541184971352862,1.8768130568663677
9,1.7425133062933358,3.302663581633624,1.8953448273281945
10,1.857084943635423,3.4388457829968715,1.8517439359908863
11,1.5716350145864972,2.8760666274667273,1.829983807164942
12,1.6670338454406077,3.243922172824689,1.9459246023690058
13,1.673266551666445,2.4547509796583427,1.4670412058458944
14,1.6377731672902693,3.097177163242108,1.8910904300419416
15,1.5562338568716552,2.278056462464235,1.4638265659144503
16,1.6524541517318305,2.5821352965009083,1.562606317273456
17,1.607553006480336,2.6734445049273674,1.663052163225866
18,1.6284546144087684,2.6482850800284012,1.6262566095462818
19,1.817810767787181,3.3444363985836887,1.8398154845649128
20,1.6961669151255712,3.211987789219485,1.893674355145463
21,1.8489110223311405,3.5930281102295254,1.9433212668608415
22,1.5679252834906061,2.415847191309659,1.5407922920481008
23,1.5662978544571273,2.5056792184886163,1.5997463134858694
24,1.8640003927308106,3.5833160395267925,1.9223794445006195
25,1.6643642596248103,2.306181081487942,1.3856228095211645
26,1.5361125011452696,2.69276671394406,1.752974936364642
27,1.901587652645101,3.2517020852656913,1.7099932683842296
28,1.5307450844715318,2.429319091660517,1.5870174049908545
29,1.651505759317463,2.3492044913438477,1.4224621852452581
30,1.6250302151428697,2.696338270987596,1.6592542377746118
31,1.7082435131539893,2.882082890052935,1.6871616182704803
32,1.824431419721345,3.287066471914116,1.8016936325379482
33,1.609441903045292,2.435780736329498,1.5134319118451285
34,1.6688337642683049,2.7826356599960604,1.6674133275438003
35,1.821076252461823,3.571519861909799,1.9612137916145125
36,1.647319144642889,3.0945985017556836,1.8785664646825557
37,1.6741828527677614,3.168159157860771,1.8923614900386572
38,1.6556678798481144,2.8475172811576215,1.719860194073973
39,1.7094205383932841,2.6056544373074715,1.524291055819754
40,1.6219338866334667,2.7441927361586522,1.6919263841601946
41,1.648375571997561,3.122157073215753,1.8940811343328816
42,1.7322054714031856,2.759734115415654,1.5931909701105558
43,1.7788411128407382,3.1060059183100392,1.7460839508874808
44,1.6805553471586594,2.6625256870416862,1.5843130019747693
45,1.6027249133514514,2.928260587112753,1.827051269197207
46,1.7989943280865697,3.038684358887629,1.6891016894531332
47,1.7699915047702626,2.9554655368449545,1.669762554723991
48,1.563859239126523,2.617054795472974,1.6734593050297177
49,1.7685205496069556,2.9721479505383925,1.6805843455983234
50,1.7247592898590063,3.097615203682082,1.7959695720411528
51,1.5078170253813306,2.2262175690236177,1.4764507440553682
52,1.6513188733748958,2.5330525766440033,1.533957261365915
53,1.4335164674367782,1.8737346136721271,1.3070897030031947
54,1.6370344720112457,2.8428078035696203,1.7365595240502005
55,1.6653092026148344,2.561029743424811,1.5378704083322992
56,1.5698541031906215,2.7180802714612895,1.731422216839754
57,1.6022580601874084,2.5586076713113215,1.596876143042809
58,1.7330645736218289,3.054153793728034,1.762285052856016
59,1.580387521463384,2.756151742475353,1.743972098642776
60,1.662920939713798,2.9592536721650546,1.779551632006249
61,1.621131388932545,2.543273001029924,1.5688259559914974
