assignment_z,treatment_d,outcome,compliance_type,d_if_z0,d_if_z1,oracle_treatment_effect
1,1,67.94540464128801,always,1,1,12.0
1,1,67.42968570837223,always,1,1,12.0
0,0,46.62193917597348,never,0,0,-3.0
1,1,68.19599337536896,always,1,1,12.0
1,1,51.27106480010497,complier,0,1,2.0
1,1,51.59686405801079,complier,0,1,2.0
0,1,69.36591354392307,always,1,1,12.0
1,0,45.46815171019902,never,0,0,-3.0
1,1,52.17634320662441,complier,0,1,2.0
1,0,46.69814187490319,never,0,0,-3.0
0,0,50.393549540319775,complier,0,1,2.0
1,1,68.45362890155792,always,1,1,12.0
1,1,51.135683451928905,complier,0,1,2.0
0,0,49.36216967068361,complier,0,1,2.0
0,0,52.57482805246772,complier,0,1,2.0
0,0,48.80803259601258,complier,0,1,2.0
0,1,70.36200091489336,always,1,1,12.0
0,0,43.95926856615971,never,0,0,-3.0
1,0,47.16504681665455,never,0,0,-3.0
1,1,52.02727401564654,complier,0,1,2.0
1,0,47.142702209659184,never,0,0,-3.0
0,0,43.694745512405014,never,0,0,-3.0
0,0,46.99195861898285,complier,0,1,2.0
1,1,71.85702800938697,always,1,1,12.0
0,1,70.5488618334159,always,1,1,12.0
0,0,47.861957890042724,complier,0,1,2.0
1,1,67.9475346966711,always,1,1,12.0
1,0,42.9215061274207,never,0,0,-3.0
1,1,54.37371500536336,complier,0,1,2.0
0,0,48.69835129032112,never,0,0,-3.0
1,0,44.06104090878905,never,0,0,-3.0
0,0,50.03979730288636,complier,0,1,2.0
1,0,45.14852214075015,never,0,0,-3.0
1,0,47.32354426170052,never,0,0,-3.0
1,1,55.86805619314171,complier,0,1,2.0
0,0,48.20375043441363,never,0,0,-3.0
0,0,48.91680261651962,complier,0,1,2.0
1,0,44.151316517288045,never,0,0,-3.0
1,0,50.09824985411208,never,0,0,-3.0
1,0,46.66214319586477,never,0,0,-3.0
0,1,63.8846937459192,always,1,1,12.0
0,0,47.002270479956735,never,0,0,-3.0
1,1,69.43737003986901,always,1,1,12.0
1,1,72.94942629182694,always,1,1,12.0
0,1,70.31971697721758,always,1,1,12.0
1,0,41.60994452665105,never,0,0,-3.0
0,0,47.59533485355726,never,0,0,-3.0
1,1,69.81255572130462,always,1,1,12.0
0,1,72.99966899952888,always,1,1,12.0
1,0,48.020028738517276,never,0,0,-3.0
0,0,50.230597209707454,complier,0,1,2.0
1,1,54.77479370105439,complier,0,1,2.0
0,1,69.78126864713244,always,1,1,12.0
0,0,43.54403755130848,never,0,0,-3.0
0,1,69.24618777572407,always,1,1,12.0
1,1,69.50324656597301,always,1,1,12.0
0,0,52.36099858990796,complier,0,1,2.0
0,1,66.632266091516,always,1,1,12.0
0,1,68.37802577629857,always,1,1,12.0
1,1,67.97558085991352,always,1,1,12.0
0,0,44.0186240142737,never,0,0,-3.0
0,0,48.58816541367435,complier,0,1,2.0
1,0,45.082635925175346,never,0,0,-3.0
0,0,46.62672733610831,never,0,0,-3.0
1,0,45.62163293591455,never,0,0,-3.0
0,0,51.770870924768964,complier,0,1,2.0
0,0,44.482569712761446,never,0,0,-3.0
0,0,46.896753238833575,never,0,0,-3.0
1,1,67.52780050254925,always,1,1,12.0
0,0,50.941813071916755,complier,0,1,2.0
0,1,68.47702475213818,always,1,1,12.0
0,0,45.77870661637086,never,0,0,-3.0
1,0,46.43775942465021,never,0,0,-3.0
1,1,68.5295304343983,always,1,1,12.0
0,0,47.51680775400196,never,0,0,-3.0
1,0,47.81635333858849,never,0,0,-3.0
0,0,47.279279329544586,never,0,0,-3.0
1,1,53.704848226918074,complier,0,1,2.0
1,1,51.80954264688756,complier,0,1,2.0
0,1,71.08953264757201,always,1,1,12.0
0,0,51.22202903295345,complier,0,1,2.0
1,1,66.67618063972206,always,1,1,12.0
0,0,47.91680402146094,never,0,0,-3.0
1,0,50.03617859187321,never,0,0,-3.0
1,0,44.55561518759181,never,0,0,-3.0
0,1,66.91810357752578,always,1,1,12.0
1,0,44.28093158176204,never,0,0,-3.0
0,0,45.4751409030259,never,0,0,-3.0
0,1,70.6820189385255,always,1,1,12.0
0,1,69.54590734737711,always,1,1,12.0
0,0,48.35967013363163,never,0,0,-3.0
0,0,52.54472100501153,complier,0,1,2.0
0,1,68.14330091731428,always,1,1,12.0
1,1,53.12813578586662,complier,0,1,2.0
0,0,49.459557336114,complier,0,1,2.0
1,1,69.7481591405558,always,1,1,12.0
1,1,55.47728397870574,complier,0,1,2.0
1,1,49.590684501764834,complier,0,1,2.0
0,1,66.69069358105368,always,1,1,12.0
1,0,47.397578091671626,never,0,0,-3.0
0,0,47.36660703611551,never,0,0,-3.0
0,0,43.39480373039946,never,0,0,-3.0
1,0,46.23078143110515,never,0,0,-3.0
0,0,44.12824623740786,never,0,0,-3.0
0,0,50.466505803042,complier,0,1,2.0
0,0,51.13491605738357,complier,0,1,2.0
0,0,53.35548467737048,complier,0,1,2.0
0,0,44.47663720018191,never,0,0,-3.0
0,0,51.11353959989733,complier,0,1,2.0
0,1,69.67828548450207,always,1,1,12.0
1,1,69.62084053910257,always,1,1,12.0
0,1,71.6754057871457,always,1,1,12.0
1,0,46.50081190535142,never,0,0,-3.0
1,1,70.29944388005926,always,1,1,12.0
1,0,45.473754160941176,never,0,0,-3.0
0,1,69.35403444983223,always,1,1,12.0
0,1,69.45097242136976,always,1,1,12.0
1,1,69.89223989794557,always,1,1,12.0
0,1,67.3631250425789,always,1,1,12.0
1,1,53.932903389128356,complier,0,1,2.0
1,0,48.39158434780202,never,0,0,-3.0
1,1,52.94221854796765,complier,0,1,2.0
0,0,51.69810269855133,complier,0,1,2.0
1,0,49.2960900578732,never,0,0,-3.0
0,0,47.568521764676355,never,0,0,-3.0
0,0,46.522759620260956,never,0,0,-3.0
0,0,49.31711756787492,never,0,0,-3.0
0,0,47.37885842201557,complier,0,1,2.0
0,0,44.85932385185781,never,0,0,-3.0
0,1,68.74649810223515,always,1,1,12.0
1,0,47.039294767567036,never,0,0,-3.0
1,0,47.108929517669246,never,0,0,-3.0
0,0,51.838117882606014,complier,0,1,2.0
1,1,69.3829785218645,always,1,1,12.0
